Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,50,0.7586920000002283,4.595996
res_120.har,50,0.7678460000008199,4.554466
res_336.har,50,0.7899599999993953,4.593169
res_381.har,50,0.7578510000006945,4.559283
res_293.har,51,1.0545099999998202,4.588223
res_40.har,50,0.8082550000015762,4.578277
res_446.har,57,1.0507090000009338,4.637468
res_56.har,50,0.7870350000011386,4.579043
res_216.har,50,0.8618550000007672,4.580116
res_288.har,50,0.8193149999995221,4.56195
res_443.har,50,0.7620669999992388,4.567144
res_313.har,50,0.7695660000008211,4.575033
res_459.har,50,0.7501529999994673,4.583487
res_241.har,51,1.000579999999667,4.578089
res_226.har,50,0.7576229999986972,4.577915
res_103.har,50,0.7447399999984918,4.573012
res_389.har,58,1.1663209999997344,4.614448
res_246.har,50,0.7981529999995837,4.5841
res_345.har,50,0.7719170000012091,4.588258
res_243.har,50,0.7767830000013201,4.575267
res_137.har,50,0.7760439999999508,4.608084
res_397.har,50,0.8216289999998407,4.56596
res_131.har,50,0.7748490000000166,4.587247
res_261.har,50,0.7732690000003204,4.598472
res_49.har,50,0.77950599999931,4.568878
res_427.har,50,0.7806410000001488,4.588314
res_383.har,51,0.9777799999998679,4.594461
res_470.har,50,0.7840180000008404,4.581624
res_393.har,56,1.0855260000008276,4.635206
res_296.har,50,0.7181309999990771,4.588319
res_395.har,50,0.7714699999988516,4.566346
res_441.har,50,0.7453450000005832,4.556654
res_81.har,57,1.130115000001344,4.626831
res_266.har,51,1.0719930000002351,4.577437
res_119.har,51,1.0393180000009161,4.577385
res_304.har,50,0.8525830000000424,4.582992
res_236.har,58,1.1101429999995016,4.633111
res_493.har,50,0.7984649999993708,4.573956
res_337.har,50,0.7829329999993497,4.599382
res_341.har,50,0.7717470000008616,4.587024
res_72.har,58,1.2385170000004,4.641263
res_329.har,50,0.8115839999998425,4.571199
res_435.har,51,1.0024539999988482,4.590856
res_173.har,50,0.8563510000017559,4.564717
res_297.har,50,0.7382319999985193,4.579492
res_312.har,50,0.826856000000902,4.587599
res_187.har,51,1.0938209999996034,4.582298
res_242.har,50,0.7942980000014505,4.577822
res_147.har,56,1.0222470000013126,4.613554
res_403.har,56,1.1384239999995625,4.645263
res_388.har,50,0.7795020000009827,4.579208
res_36.har,50,0.8037299999993557,4.571695
res_157.har,50,0.8222819999998028,4.593732
res_462.har,53,1.0271069999996107,4.57982
res_1.har,49,0.7572240000001766,4.579228
