Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,84,2.3260610000010202,4.88473
res_120.har,56,1.6927579999986337,4.578808
res_336.har,67,2.0004069999999627,4.736315
res_381.har,54,1.6069020000000418,4.584775
res_293.har,52,1.5932270000007847,4.585875
res_40.har,53,1.8189329999997281,4.554548
res_446.har,56,1.6293199999999197,4.545379
res_56.har,53,1.7438789999990112,4.582266
res_216.har,56,1.8443090000000375,4.588049
res_288.har,53,1.5562099999999046,4.580836
res_443.har,85,5.106502999999604,4.920161
res_313.har,60,1.9036200000004173,4.659184
res_459.har,89,2.175098000000362,4.968859
res_241.har,88,2.3243300000007294,4.926344
res_226.har,53,1.7682719999995897,4.571537
res_103.har,56,1.6550099999988597,4.573464
res_389.har,87,2.178063000000024,4.948134
res_246.har,64,1.9828910000007163,4.734624
res_345.har,85,2.161234000000113,4.876074
res_243.har,55,1.901519999998709,4.843269
res_137.har,95,2.2088839999998746,4.999007
res_397.har,54,1.6187450000002428,4.535751
res_131.har,53,1.5819790000000793,4.535352
res_261.har,54,1.734996999999872,4.558629
res_49.har,63,2.0594589999998862,4.695938
res_427.har,56,1.6469270000006655,4.567059
res_383.har,56,1.634266999999556,4.560376
res_470.har,56,1.6818769999989163,4.584401
res_393.har,52,1.7330630000004894,4.822363
res_296.har,66,1.9240180000004765,4.766388
res_395.har,54,1.5504999999999856,4.539842
res_441.har,53,1.6712070000004169,4.548278
res_81.har,54,1.6861430000004767,4.577173
res_266.har,55,1.653538999999435,4.569079
res_119.har,53,1.5729459999991668,4.575626
res_304.har,94,2.3542439999998606,4.968549
res_236.har,53,1.9078959999984217,4.567607
res_493.har,53,1.6214649999993271,4.57289
res_337.har,56,1.7509239999994461,4.574521
res_341.har,53,1.5643019999989338,4.587603
res_72.har,56,1.8523710000004212,4.593403
res_329.har,63,1.9184280000011205,4.616785
res_435.har,68,1.8811149999997288,4.75625
res_173.har,54,1.7173079999998444,4.57164
res_297.har,54,1.616087000000829,4.537911
res_312.har,53,1.6185169999994686,4.55028
res_187.har,43,1.6637029999994701,4.632325
res_242.har,88,3.3273110000001616,4.975882
res_147.har,96,2.256562999999747,5.065136
res_403.har,53,1.6165519999997942,4.543107
res_388.har,54,1.5851990000000369,4.582343
res_36.har,64,2.013543999998976,4.715404
res_157.har,54,1.6130659999995842,4.576462
res_462.har,53,1.5940960000011255,4.534668
res_1.har,54,1.8154670000005135,4.549101
res_174.har,54,1.6195030000001716,4.55714
res_69.har,84,2.1660670000001994,4.889193
res_421.har,86,2.1296709999991,4.954808
res_105.har,54,1.5612950000000128,4.58726
res_156.har,54,1.6440150000003195,4.589088
res_211.har,55,1.8065490000012068,4.569645
res_254.har,54,1.7434309999992401,4.551433
res_114.har,50,1.67273000000068,4.851137
res_406.har,54,1.591596999999456,4.543891
res_74.har,53,1.8077880000009463,4.583372
res_285.har,87,2.1907699999990875,4.92464
res_295.har,53,1.6474039999993983,4.541128
res_190.har,58,1.920476999999606,4.58026
res_100.har,47,1.6688459999989118,4.83037
res_225.har,56,1.8548620000007068,4.569116
res_96.har,57,1.9774879999988626,4.572178
res_28.har,56,1.8158419999991748,4.577149
res_19.har,63,2.0627659999997414,4.610459
res_80.har,49,1.8501800000012445,4.798805
res_42.har,56,1.9075540000011242,4.561298
res_476.har,54,1.5307269999994024,4.551163
res_454.har,90,2.129556000000186,4.950296
res_396.har,56,1.712179000000091,4.583489
res_30.har,88,2.5988860000001295,4.935683
res_178.har,54,1.6406969999987486,4.576726
res_405.har,54,1.6594570000009699,4.545294
res_375.har,56,1.790593000000983,4.571178
res_133.har,52,1.6157539999995496,4.582207
res_71.har,54,1.748540000001376,4.566142
res_107.har,61,1.8885220000005938,4.604532
res_472.har,56,1.7020280000007042,4.585916
res_365.har,67,2.0073030000012366,4.711107
res_411.har,54,1.6049609999995118,4.55017
res_355.har,50,1.6098100000002742,4.832188
res_27.har,56,1.835043000000529,4.577953
res_162.har,54,1.6973700000010286,4.552897
res_257.har,54,1.7300489999996935,4.567721
res_169.har,62,1.7471379999999481,4.601589
res_44.har,52,1.802510999999504,4.550722
res_115.har,63,2.005340000000433,4.626899
res_487.har,58,1.9214720000003436,4.653168
res_264.har,54,1.650886000000901,4.55944
res_201.har,54,1.8064200000011914,4.525748
res_310.har,63,1.968867000000595,4.647143
res_163.har,57,1.9278259999996954,4.580582
res_208.har,53,1.8521540000002714,4.568043
res_318.har,54,1.6206909999997443,4.538994
