Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,50,0.779549000000523,4.587407
res_120.har,50,0.7235879999999015,4.5869
res_336.har,50,0.8074780000001338,4.58093
res_381.har,50,0.744770000000557,4.581685
res_293.har,58,1.2032969999988854,4.665397
res_40.har,50,0.8287079999991838,4.573363
res_446.har,50,0.8592750000016859,4.591148
res_56.har,50,0.7893300000005693,4.591618
res_216.har,50,0.9821799999987998,4.576918
res_288.har,50,0.7669179999995395,4.583357
res_443.har,50,0.7627500000006694,4.572
res_313.har,50,0.7986749999989261,4.579059
res_459.har,50,0.7924960000012361,4.580889
res_241.har,52,1.0605070000000123,4.593185
res_226.har,51,0.8115400000001973,4.587785
res_103.har,50,0.7686219999993773,4.594324
res_389.har,50,0.7540109999992856,4.588705
res_246.har,50,0.788514000001218,4.597815
res_345.har,50,0.7738239999988291,4.593442
res_243.har,51,1.036211000001669,4.603876
res_137.har,50,0.8030680000014109,4.57336
res_397.har,50,0.753867000000464,4.590147
res_131.har,50,0.7516859999994049,4.582277
res_261.har,50,0.7895569999992004,4.586558
res_49.har,50,0.7971419999991631,4.579784
res_427.har,50,0.8750989999988815,4.594439
res_383.har,57,1.1677109999991808,4.648013
res_470.har,50,0.7779690000006231,4.58329
res_393.har,58,1.1399399999999005,4.6141
res_296.har,50,0.7692750000001397,4.573407
res_395.har,50,0.787178999998956,4.588285
res_441.har,50,1.0227739999997139,4.585083
res_81.har,56,1.1429860000008338,4.632034
res_266.har,51,0.9290229999988951,4.593309
res_119.har,50,0.7965560000010737,4.579352
res_304.har,50,0.8219879999997792,4.588113
res_236.har,50,0.7884640000002546,4.581639
res_493.har,50,0.7307399999994959,4.577226
res_337.har,51,1.1828570000008767,4.571363
res_341.har,50,0.7832200000013254,4.592577
res_72.har,50,0.8409689999997354,4.590511
res_329.har,58,1.1611369999992893,4.625273
res_435.har,50,0.789835000000734,4.582568
res_173.har,50,0.7742000000008266,4.590698
res_297.har,50,0.7583000000001048,4.601851
res_312.har,56,1.039094999998415,4.651468
res_187.har,50,0.8391350000004313,4.582181
res_242.har,50,0.7280149999998248,4.594977
res_147.har,50,0.7798580000000366,4.59136
res_403.har,50,0.8206829999998153,4.58468
res_388.har,58,1.2549320000001463,4.635264
res_36.har,50,0.87397100000082,4.574883
res_157.har,50,0.7568829999987938,4.589671
res_462.har,56,1.248997999998508,4.665655
res_1.har,50,0.7463400000013207,4.57294
res_174.har,50,0.7860280000005878,4.578437
res_69.har,50,0.777413999999495,4.583997
res_421.har,50,0.8189870000012597,4.597696
res_105.har,56,1.066005000000194,4.625967
res_156.har,50,0.8297900000000518,4.576148
res_211.har,51,1.0298030000003782,4.588476
res_254.har,51,1.0499559999988268,4.591677
res_114.har,50,0.7787239999990561,4.597127
res_406.har,51,1.0352500000009313,4.593476
res_74.har,50,0.7149499999996478,4.590768
res_285.har,50,0.775872999999061,4.587838
res_295.har,50,0.7944230000005191,4.594808
res_190.har,50,0.7960200000013283,4.583231
res_100.har,57,1.1762339999997349,4.648265
res_225.har,50,0.7782199999995064,4.591934
res_96.har,50,0.8295820000007806,4.55768
res_28.har,50,0.8150619999993797,4.579901
res_19.har,50,0.7212170000003097,4.565829
res_80.har,48,1.9509519999986222,4.582519
res_42.har,50,0.7705279999996856,4.599951
res_476.har,59,1.2008470000011584,4.622948
res_454.har,50,0.8167119999991118,4.603258
res_396.har,50,0.7976769999998069,4.59231
res_30.har,50,0.7929690000006231,4.580629
res_178.har,50,0.7301590000006836,4.59373
res_405.har,57,1.159668999999063,4.635287
res_375.har,50,0.7904100000007602,4.590642
res_133.har,58,1.1345540000001928,4.649733
res_71.har,50,0.7991329999997543,4.585882
res_107.har,50,0.7802450000000098,4.57662
res_472.har,50,0.7833209999997344,4.574404
res_365.har,50,0.7905219999998808,4.598645
res_411.har,50,0.7250249999995722,4.582208
res_355.har,50,0.7792529999985418,4.57077
res_27.har,50,0.8054190000001691,4.590245
res_162.har,50,0.7787659999992029,4.58713
res_257.har,50,0.8363800000002375,4.586952
res_169.har,50,0.7465270000015735,4.576022
res_44.har,50,0.8286300000011816,4.591725
res_115.har,50,0.8864440000002797,4.590519
res_487.har,51,1.1476009999992967,4.565731
res_264.har,50,0.8701460000002408,4.583588
res_201.har,59,1.2481799999992946,4.648165
