Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,54,1.5385100000007843,4.547548
res_120.har,53,1.5309770000000136,4.527868
res_336.har,54,1.6755049999999028,4.572655
res_381.har,51,1.5618269999989571,4.577535
res_293.har,53,1.7369890000006416,4.548631
res_40.har,51,1.8430179999999527,4.558038
res_446.har,47,1.3346480000009178,4.509765
res_56.har,86,2.419470999998448,4.955017
res_216.har,54,1.5478519999999407,4.549396
res_288.har,97,3.8573440000002592,5.006711
res_443.har,53,1.514574999999735,4.548128
res_313.har,54,1.7700760000005975,4.54094
res_459.har,47,1.444408999999694,4.836667
res_241.har,53,1.5991609999986394,4.581905
res_226.har,54,1.6392720000010594,4.565701
res_103.har,53,1.5755200000004697,4.562546
res_389.har,53,1.5962099999996717,4.561408
res_246.har,51,1.5717959999997984,4.577073
res_345.har,53,1.6817079999996931,4.577682
res_243.har,54,1.8307579999993613,4.555652
res_137.har,54,1.65259800000006,4.572527
res_397.har,54,1.619936000000889,4.532403
res_131.har,53,1.6214500000008847,4.549762
res_261.har,66,2.1153839999998016,4.687915
res_49.har,51,1.788223000000231,4.54353
res_427.har,53,1.5075180000012625,4.574014
res_383.har,53,1.589832999999373,4.607045
res_470.har,53,1.5930919999999313,4.552095
res_393.har,51,1.6484430000001302,4.562681
res_296.har,53,1.8037449999990787,4.548715
res_395.har,53,1.5553869999996968,4.563723
res_441.har,53,1.4905449999996927,4.548077
res_81.har,51,1.720568000000625,4.549989
res_266.har,53,1.6988720000010071,4.545249
res_119.har,51,1.4987760000000854,4.567272
res_304.har,53,1.6942089999989693,4.550775
res_236.har,53,1.6245310000010067,4.57549
res_493.har,53,1.7084690000007976,4.583626
res_337.har,53,1.8192669999997744,4.58865
res_341.har,51,1.9011519999994344,4.561557
res_72.har,53,1.778876999998698,4.572976
res_329.har,53,1.667052000000942,4.570496
res_435.har,88,2.445751999999906,4.915522
res_173.har,54,1.623575999999477,4.597827
res_297.har,54,1.7382509999993927,4.559848
res_312.har,53,1.8028330000003772,4.539533
res_187.har,53,1.62684499999939,4.59133
res_242.har,53,0.29454900000018824,4.583705
res_147.har,53,1.5268870000002643,4.560733
res_403.har,53,1.5606969999993452,4.563305
res_388.har,54,1.6014149999999499,4.596167
res_36.har,53,1.835309000000634,4.54566
res_157.har,51,1.5533670000000712,4.574354
res_462.har,51,1.6061459999990475,4.53779
res_1.har,54,1.6378660000010423,4.552219
res_174.har,53,1.4759390000006969,4.584407
res_69.har,92,2.3931509999998086,4.933052
res_421.har,53,1.5612879999997968,4.547592
res_105.har,51,1.7414449999989883,4.549516
res_156.har,102,4.338470999998914,8.040034
res_211.har,91,2.9341479999999427,4.977918
res_254.har,53,1.7417229999999253,4.575593
res_114.har,51,1.5391189999989874,4.588863
res_406.har,51,1.5648070000006846,4.548734
res_74.har,51,1.7549740000006278,4.54325
res_285.har,86,2.345810999999507,4.907361
res_295.har,51,1.6817010000007722,4.571949
res_190.har,51,1.496836000000796,4.548262
res_100.har,53,1.5471189999991766,4.536354
res_225.har,53,1.4881760000013746,4.567455
res_96.har,53,1.5424490000003426,4.547681
res_28.har,55,1.4835539999999163,4.57331
res_19.har,53,1.4957260000002717,4.571033
res_80.har,85,2.283305000000764,4.872459
res_42.har,51,1.7604359999991865,4.58472
res_476.har,54,1.606805000000415,4.564433
res_454.har,53,1.4870569999989967,4.556879
res_396.har,51,1.5476079999998038,4.563452
res_30.har,51,1.6361319999997794,4.541876
res_178.har,47,1.5279760000008829,4.809121
res_405.har,54,1.5888949999997566,4.577685
res_375.har,53,1.548352000000552,4.543705
res_133.har,54,1.6289399999994203,4.55539
res_71.har,55,1.7666289999990403,4.571827
res_107.har,51,1.6407640000010724,4.578286
res_472.har,54,1.594180999999764,4.592426
res_365.har,53,1.5583719999993044,4.55633
res_411.har,54,1.614422000000297,4.585427
res_355.har,54,1.693569000000556,4.524971
res_27.har,53,1.6309099999989558,4.534462
res_162.har,53,1.6004270000005636,4.558902
res_257.har,54,1.6596940000000031,4.547746
res_169.har,53,1.5264999999996216,4.591139
res_44.har,53,1.6782200000001612,4.55119
res_115.har,51,1.5175470000007771,4.550943
res_487.har,51,1.6634810000010911,4.551382
res_264.har,54,1.7059679999996151,4.552794
res_201.har,51,1.5987739999992046,4.568294
res_310.har,54,1.753407000000283,4.540877
res_163.har,53,1.5079030000003841,4.576731
res_208.har,53,1.661475999998962,4.549664
res_318.har,53,1.7170660000010394,4.568198
res_222.har,54,1.611139999999621,4.586666
res_8.har,53,1.695971999999747,4.549897
res_231.har,51,1.630149999998568,4.546811
res_367.har,51,1.5469759999998933,4.561254
res_352.har,51,1.7283009999995702,4.577097
res_34.har,51,1.832513000001025,4.527538
res_167.har,53,1.5239240000004066,4.52998
res_444.har,54,1.5356599999998288,4.594219
res_494.har,53,1.6914939999998024,4.544944
res_360.har,51,1.7684440000006871,4.566929
res_356.har,54,1.6942330000007932,4.550606
res_269.har,54,1.7062130000002798,4.567581
res_473.har,54,1.5263619999996008,4.578814
res_25.har,53,1.501176000000083,4.535239
res_353.har,51,1.616456999999209,4.518765
res_5.har,90,2.1376480000007434,4.937454
res_495.har,53,1.736481999999989,4.5603
res_457.har,47,1.4325890000009966,4.837664
res_420.har,51,1.592466999999364,4.530149
res_134.har,47,1.4341119999987422,4.848592
res_408.har,51,1.5768119999993506,4.573519
res_426.har,54,1.5373259999995352,4.571643
res_440.har,53,1.485189999999915,4.586668
res_369.har,51,1.6355800000002345,4.556279
res_221.har,54,1.7167989999995916,4.560463
res_22.har,54,1.5951380000001518,4.555714
res_183.har,53,1.5980939999996044,4.553066
res_98.har,54,1.7079480000001057,4.579521
res_141.har,53,1.5339209999999293,4.547534
res_412.har,53,1.5512460000003194,4.551972
res_168.har,53,1.4977470000003668,4.571129
res_192.har,51,1.562907000000574,4.574302
res_338.har,87,2.275523999999932,4.947959
res_48.har,51,1.7269569999991072,4.563339
res_23.har,53,1.5288070000000589,4.553047
res_125.har,54,1.6580489999995334,4.56162
res_438.har,53,1.6245230000000448,4.565838
res_67.har,98,3.3127310000009893,5.058404
res_165.har,91,3.543723999999522,4.964226
res_75.har,53,1.7740730000007752,4.56787
res_228.har,53,1.5254199999996199,4.567213
res_219.har,90,3.16771100000132,4.938446
res_84.har,54,1.7895080000001036,4.546868
res_394.har,51,1.5859340000002704,4.541045
res_483.har,101,20.282057999999697,5.04225
res_45.har,53,1.7422930000008783,4.532107
