Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,50,0.7553230000004114,4.581804
res_120.har,50,0.8032259999998641,4.608619
res_336.har,50,0.7140059999999648,4.58752
res_381.har,50,0.7738949999997349,4.583462
res_293.har,50,0.7882090000000171,4.583967
res_40.har,50,0.8153539999999848,4.592175
res_446.har,50,0.7908649999999907,4.581668
res_56.har,50,0.7712409999999563,4.594884
res_216.har,50,0.8017219999999943,4.595081
res_288.har,50,0.7753340000000463,4.585162
res_443.har,50,0.8090350000002291,4.578919
res_313.har,50,0.7619760000002643,4.580352
res_459.har,50,0.7945559999997095,4.59095
res_241.har,50,0.7960910000000877,4.5993
res_226.har,59,1.1085310000000026,4.650726
res_103.har,50,0.8165200000000022,4.586924
res_389.har,50,0.8229150000000299,4.587752
res_246.har,50,0.7399030000003731,4.587713
res_345.har,50,0.7683160000003117,4.568403
res_243.har,50,0.7289240000003919,4.588787
res_137.har,50,0.7807030000001541,4.587976
res_397.har,50,0.7279670000001061,4.594632
res_131.har,50,0.852626000000033,4.594397
res_261.har,50,0.7591359999998604,4.581041
res_49.har,50,0.8066649999998972,4.59908
res_427.har,50,0.7810020000000368,4.585161
res_383.har,50,0.778096000000136,4.601978
res_470.har,50,0.7404109999998436,4.586563
res_393.har,55,1.0330299999999697,4.657482
res_296.har,50,0.7887999999997992,4.598958
res_395.har,50,0.7538200000002034,4.585732
res_441.har,51,1.0444309999996548,4.584643
res_81.har,50,0.7824790000000358,4.587586
res_266.har,50,0.7169699999995973,4.595724
res_119.har,50,0.7982299999998685,4.593467
res_304.har,50,0.801806999999666,4.582577
res_236.har,50,0.7901309999999867,4.596199
res_493.har,50,0.7751899999999514,4.581166
res_337.har,50,0.7874780000001047,4.584458
res_341.har,50,0.8264370000002964,4.582499
res_72.har,50,0.7831689999998925,4.603187
res_329.har,50,0.7965539999999455,4.595235
res_435.har,50,0.7200160000001633,4.572046
res_173.har,50,0.9039390000001949,4.584534
res_297.har,50,0.7840559999998732,4.582554
res_312.har,56,1.1682710000001097,4.647063
res_187.har,50,0.7721480000000592,4.580852
res_242.har,50,0.802820999999858,4.588923
res_147.har,50,0.7391439999999256,4.589706
res_403.har,52,0.898285000000029,4.601636
res_388.har,50,0.7259489999997604,4.578354
res_36.har,50,0.7837710000000224,4.585514
res_157.har,50,0.7671830000000845,4.570566
res_462.har,50,0.7370169999997015,4.58583
res_1.har,50,0.815225000000004,4.592404
res_174.har,50,0.7728930000001346,4.602412
res_69.har,50,0.7659009999998889,4.614966
res_421.har,50,0.7218339999999407,4.584977
res_105.har,50,0.7707919999998194,4.593281
res_156.har,50,0.8397540000001409,4.574995
res_211.har,50,0.8033779999998587,4.592179
res_254.har,50,0.7176089999999385,4.591746
res_114.har,50,0.7100390000001935,4.578843
res_406.har,50,0.797213000000007,4.587335
res_74.har,50,0.8191440000000657,4.587578
res_285.har,50,0.8414520000000412,4.581102
res_295.har,50,0.7999229999996024,4.585543
res_190.har,51,1.0906259999998729,4.592604
res_100.har,57,1.1316380000000408,4.647135
res_225.har,50,0.8423770000000659,4.5948
res_96.har,50,0.8047989999999536,4.593299
res_28.har,50,0.8381529999999039,4.587603
res_19.har,50,0.7089549999999762,4.607895
res_80.har,51,1.1258680000000532,4.601759
res_42.har,50,0.7482759999999252,4.604736
res_476.har,50,0.7200309999997844,4.567892
res_454.har,50,0.7129570000001986,4.5802
res_396.har,50,0.8365139999996609,4.583237
res_30.har,50,0.7479579999998532,4.603466
res_178.har,50,0.7166480000001102,4.600055
res_405.har,56,1.0120920000000406,4.639248
res_375.har,50,0.7187799999998533,4.588553
res_133.har,51,1.0126760000001305,4.591236
res_71.har,50,0.7293049999998329,4.606953
res_107.har,50,0.7663489999998928,4.614051
res_472.har,50,0.7732509999996837,4.590745
res_365.har,50,0.7681829999998299,4.596977
res_411.har,50,0.7758410000000513,4.596948
res_355.har,50,0.7815070000000087,4.596802
res_27.har,50,0.7956009999999079,4.587172
res_162.har,50,0.7600890000001382,4.597396
res_257.har,50,0.7296269999997057,4.584846
res_169.har,50,0.7661549999999261,4.591111
res_44.har,50,0.8657019999998175,4.576194
res_115.har,50,0.8485110000001296,4.596271
res_487.har,50,0.7830449999999765,4.576078
res_264.har,50,0.7861669999998958,4.575495
res_201.har,50,0.8006290000001082,4.581937
res_310.har,50,0.696162000000022,4.592704
res_163.har,50,0.8079139999999898,4.594255
res_208.har,50,0.8352159999999058,4.58768
res_318.har,50,0.810038000000397,4.583556
