Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,63,1.8484509999999208,4.651088
res_120.har,53,1.584726000000097,4.568608
res_336.har,54,1.6576180000003078,4.565155
res_381.har,54,1.608039000000259,4.551683
res_293.har,87,2.3348930000000983,4.925121
res_40.har,52,1.6150089999998891,4.588466
res_446.har,52,1.5512519999999932,4.581096
res_56.har,58,1.8673159999995805,4.545003
res_216.har,52,1.5828159999997953,4.557853
res_288.har,53,1.6926439999999603,4.596635
res_443.har,54,1.5596279999998441,4.566302
res_313.har,56,1.8465509999997485,4.598171
res_459.har,43,1.6794360000000161,4.542454
res_241.har,52,1.6550359999998763,4.596243
res_226.har,56,1.6766630000000768,4.592842
res_103.har,63,1.8465649999999076,4.639034
res_389.har,96,2.2228319999996455,5.015507
res_246.har,56,1.6352289999999265,4.582169
res_345.har,53,1.68677600000034,5.981981
res_243.har,61,1.8164330000000846,4.630852
res_137.har,88,2.1705340000001234,4.941436
res_397.har,53,1.6129349999998486,4.542175
res_131.har,54,1.6590709999999744,4.556998
res_261.har,89,2.2450660000001443,4.952997
res_49.har,87,2.298838000000171,4.936476
res_427.har,54,1.6775170000003308,4.568573
res_383.har,60,1.8711589999999414,4.555549
res_470.har,53,1.741913000000226,4.562427
res_393.har,88,2.0724950000001083,4.939258
res_296.har,85,2.304294999999969,4.907822
res_395.har,56,1.7172410000000053,4.586055
res_441.har,56,1.5897729999998846,4.577436
res_81.har,90,2.2014930000001223,4.988856
res_266.har,52,1.8293730000001378,4.83848
res_119.har,54,1.6045220000000482,4.577044
res_304.har,56,1.8179859999999717,4.590656
res_236.har,60,1.8198770000000295,4.602504
res_493.har,65,1.959955999999991,4.669226
res_337.har,88,2.1109050000001006,4.935487
res_341.har,54,1.6392700000000622,4.603307
res_72.har,53,1.6613910000001706,4.579624
res_329.har,54,1.7978299999999616,4.57024
res_435.har,96,2.125268000000055,5.107117
res_173.har,53,1.6022529999995967,4.555283
res_297.har,88,2.3072609999997074,4.954794
res_312.har,87,2.2238329999998894,4.988295
res_187.har,64,2.0849000000000815,4.708903
res_242.har,54,1.5436489999998886,4.560772
res_147.har,57,1.934668000000056,4.564893
res_403.har,53,1.5908290000002308,4.545646
res_388.har,56,1.6211150000001908,4.572492
res_36.har,67,1.8995590000000375,4.657885
res_157.har,53,1.6027079999997587,4.531369
res_462.har,53,1.5649259999999048,4.591588
res_1.har,53,1.630583000000268,4.546631
