Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,50,0.7708760000000621,4.590126
res_120.har,50,0.7813770000000477,4.585774
res_336.har,51,1.0639139999994587,4.591061
res_381.har,51,1.017363999999805,4.571687
res_293.har,50,0.7712769999993944,4.59792
res_40.har,50,0.8382140000002728,4.596844
res_446.har,50,0.7961430000004112,4.585155
res_56.har,50,0.7537620000001188,4.580657
res_216.har,50,0.7855289999997258,4.604523
res_288.har,50,0.7719569999998057,4.597872
res_443.har,57,1.1198869999999805,4.659814
res_313.har,51,1.0717269999997079,4.589053
res_459.har,50,0.7884810000002399,4.592836
res_241.har,50,0.8131979999996547,4.589256
res_226.har,51,1.015988000000143,4.583984
res_103.har,50,0.8419949999998935,4.589487
res_389.har,52,0.8760140000005995,4.622484
res_246.har,50,0.7651880000001838,4.582489
res_345.har,51,1.0065180000000982,4.604726
res_243.har,50,0.7787499999999636,4.586007
res_137.har,50,0.7630420000003251,4.590879
res_397.har,51,1.0613410000002041,4.606867
res_131.har,51,0.9988849999998347,4.599016
res_261.har,51,1.0156849999999467,4.585927
res_49.har,50,0.7851750000003304,4.584731
res_427.har,50,0.7339529999997539,4.598775
res_383.har,50,0.7794249999997847,4.583653
res_470.har,50,0.7889559999998601,4.586913
res_393.har,55,1.0424520000005724,4.622878
res_296.har,50,0.7699600000006176,4.587583
res_395.har,50,0.793140000000305,4.604401
res_441.har,50,0.8204360000003944,4.583695
res_81.har,50,0.7748899999997994,4.598409
res_266.har,50,0.7388080000002956,4.585642
res_119.har,50,0.7666710000002386,4.58552
res_304.har,50,0.8206120000000228,4.57787
res_236.har,50,0.7884009999999871,4.586364
res_493.har,51,1.1534989999997343,4.601521
res_337.har,58,1.1659849999996732,4.642802
res_341.har,50,0.7920950000005323,4.59509
res_72.har,50,0.9022470000001376,4.586408
res_329.har,50,0.7080099999999511,4.584065
res_435.har,50,0.7579169999993901,4.591553
res_173.har,50,0.786133999999699,4.589448
res_297.har,50,0.8160689999995302,4.599125
res_312.har,50,0.8212919999999212,4.579647
res_187.har,51,1.1164540000002126,4.593085
res_242.har,50,0.7662580000002345,4.606618
res_147.har,50,0.7312560000001249,4.582807
res_403.har,50,0.7533409999996366,4.575221
res_388.har,55,1.1511840000001685,4.622826
res_36.har,55,0.9217409999997399,4.633996
res_157.har,50,0.791857999999891,4.591848
res_462.har,50,0.7769709999994812,4.58705
res_1.har,50,0.8027269999999916,4.595633
res_174.har,50,0.8180479999996277,4.574151
res_69.har,50,0.7952429999997039,4.587036
res_421.har,50,0.79626200000049,4.585168
res_105.har,50,0.7849049999998752,4.587236
res_156.har,50,0.756819999999745,4.588675
res_211.har,50,0.7230699999998033,4.588667
res_254.har,57,1.262688000000191,4.644085
res_114.har,50,0.7709339999999502,4.587576
res_406.har,50,0.7772589999996635,4.575639
res_74.har,50,0.7876759999996721,4.59019
res_285.har,50,0.7993950000002297,4.594659
res_295.har,50,0.8233669999999547,4.578115
res_190.har,50,0.8125849999999774,4.583157
res_100.har,59,1.220532000000021,4.649546
res_225.har,50,0.8010120000001735,4.589942
res_96.har,50,0.7698699999998498,4.586366
res_28.har,50,0.8361739999998572,4.579732
res_19.har,51,1.09875999999962,4.597299
res_80.har,57,1.2348789999996879,4.63606
res_42.har,53,1.0367969999998676,4.605769
res_476.har,53,1.0680039999996007,4.620508
res_454.har,58,1.182969000000623,4.626967
res_396.har,51,1.0816380000004355,4.566463
res_30.har,50,0.7339360000003653,4.585621
res_178.har,56,1.1262319999995707,4.633095
res_405.har,50,0.7792230000002092,4.585251
res_375.har,52,0.8569959999997591,4.611368
res_133.har,50,0.7778529999998646,4.587532
res_71.har,50,0.7953280000000014,4.597276
res_107.har,50,0.7973640000000014,4.599037
res_472.har,56,1.137723999999871,4.664224
res_365.har,50,0.8040830000001079,4.59969
res_411.har,50,0.8352999999999229,4.56993
res_355.har,50,0.8101899999997623,4.584834
res_27.har,50,0.8131859999998197,4.602713
res_162.har,50,0.8007460000001593,4.592854
res_257.har,50,0.7609809999997451,4.595956
res_169.har,51,1.0423210000000982,4.59796
res_44.har,50,0.7761739999999955,4.600247
res_115.har,50,0.7705239999997866,4.589845
res_487.har,50,0.8030359999996581,4.595582
res_264.har,50,0.8725129999998972,4.581202
res_201.har,50,0.8609089999998105,4.59605
res_310.har,50,0.7536600000006074,4.595483
res_163.har,50,0.8784739999998128,4.593721
res_208.har,57,1.163206999999631,4.631046
res_318.har,50,0.7882910000004922,4.585202
res_222.har,50,0.8802070000001768,4.583687
res_8.har,51,0.9913040000001638,4.604177
res_231.har,50,0.7707660000003307,4.587766
res_367.har,50,0.8291890000004641,4.595081
res_352.har,50,0.7657989999994607,4.610261
res_34.har,50,0.7668820000002743,4.584879
res_167.har,50,0.7413520000000572,4.608656
