Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,84,2.0742719999996915,5.240802
res_120.har,86,2.0973459999996193,4.971123
res_336.har,55,1.611592000000066,4.607378
res_381.har,51,1.5540970000000234,4.595846
res_293.har,53,1.5521959999997197,4.592877
res_40.har,47,1.0398560000008583,4.850694
res_446.har,51,1.5208200000003345,4.566954
res_56.har,53,1.5434989999995814,4.541443
res_216.har,53,1.4662399999997142,4.570132
res_288.har,51,0.2505200000005061,4.563748
res_443.har,53,1.576956999999813,4.565601
res_313.har,53,1.4925930000005756,4.547868
res_459.har,53,1.550018000000382,4.564072
res_241.har,62,1.866360999999495,4.615373
res_226.har,54,0.8840449999997072,4.583336
res_103.har,51,1.608593000000088,4.584189
res_389.har,54,1.543342000000499,4.52517
res_246.har,56,1.6306750000001557,4.558
res_345.har,55,1.5810489999999409,4.591574
res_243.har,98,2.1897900000004955,5.000403
res_137.har,54,1.5433040000000693,4.521655
res_397.har,54,1.6408240000005754,4.59211
res_131.har,66,1.8238019999996904,4.607437
res_261.har,54,1.5570330000002797,4.599596
res_49.har,53,1.729592000000237,4.568722
res_427.har,53,1.6273269999996556,4.637597
res_383.har,51,1.5775990000000966,4.598659
res_470.har,53,1.5233410000005534,4.559975
res_393.har,47,1.4308839999995544,4.810158
res_296.har,53,1.5482299999993048,4.572015
res_395.har,53,1.5345280000001003,4.557277
res_441.har,54,1.498780000000639,4.578099
res_81.har,53,1.604041000000594,4.599625
res_266.har,54,1.6631530000000858,4.590688
res_119.har,51,1.500871000000214,4.561473
res_304.har,51,1.814848999999551,4.505918
res_236.har,53,1.4450250000002052,4.563829
res_493.har,54,1.5910710000008184,4.555175
res_337.har,53,1.5751129999999685,4.537956
res_341.har,51,1.564853000000483,4.54936
res_72.har,48,1.452748000000407,4.833793
res_329.har,54,1.5100000000003346,4.592345
res_435.har,54,1.5808509999998206,4.561655
res_173.har,53,1.6004000000000305,4.562097
res_297.har,51,1.581534999999756,4.570685
res_312.har,53,1.59012099999965,4.583334
res_187.har,53,1.704421000000162,4.573943
res_242.har,47,1.4845159999993702,4.84687
res_147.har,55,1.5819570000000822,4.586568
res_403.har,53,1.5054790000000866,4.573013
res_388.har,54,1.5869229999997332,4.591131
res_36.har,53,1.5624239999995626,4.571745
res_157.har,51,1.5967400000004417,4.562942
res_462.har,47,1.4571670000002195,4.863992
res_1.har,53,1.6208060000005062,4.584113
res_174.har,51,1.5837849999995088,4.595712
res_69.har,53,1.6105150000002468,4.578021
res_421.har,54,1.6360689999996394,4.583056
res_105.har,55,1.595838999999978,4.605062
res_156.har,47,1.6143140000004133,4.540974
res_211.har,55,1.618215999999993,4.616924
res_254.har,51,1.574942999999621,4.558467
res_114.har,51,1.5699560000006023,4.5211
res_406.har,51,1.5620480000002135,4.564375
res_74.har,54,1.5418339999997115,4.545886
res_285.har,54,1.6158439999998664,4.583194
res_295.har,54,1.592820999999858,4.576504
res_190.har,53,1.6733150000002497,4.532267
res_100.har,54,1.6106169999996856,4.563006
res_225.har,54,1.5791939999993045,4.58196
res_96.har,51,1.5847089999998425,4.6
res_28.har,54,1.5072149999998947,4.577045
res_19.har,53,1.6158419999999896,4.561204
res_80.har,53,1.5040309999996024,4.54074
res_42.har,53,1.7202309999997596,4.589195
res_476.har,50,1.563937999999681,4.878647
res_454.har,54,1.6870870000004798,4.543304
res_396.har,53,1.553212000000145,4.60643
res_30.har,51,1.5512089999996461,4.577598
res_178.har,53,1.5790170000003199,4.569487
