Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,53,1.6034230000012757,4.570913
res_120.har,66,2.069642000000502,4.752744
res_336.har,53,1.5924360000005253,4.572581
res_381.har,53,1.577093999998877,4.574958
res_293.har,85,2.2722719999996333,4.963206
res_40.har,91,2.2675239999996557,4.949476
res_446.har,54,1.6478590000000404,4.56951
res_56.har,90,2.2028329999989653,4.978499
res_216.har,55,1.8387680000003601,4.562671
res_288.har,52,1.680161000000051,4.546199
res_443.har,51,1.487512000001807,4.823527
res_313.har,53,1.6216129999996483,4.531685
res_459.har,53,1.660690000001443,4.550008
res_241.har,58,1.865765000000276,4.59172
res_226.har,88,2.3159959999993736,4.9167
res_103.har,56,1.9780679999998974,4.570789
res_389.har,56,1.667718000001216,4.556553
res_246.har,57,1.7789269999986572,4.878615
res_345.har,55,1.6493829999987648,4.582798
res_243.har,90,2.397235000001674,4.976827
res_137.har,50,1.788957999999504,4.54078
res_397.har,52,1.6513689999995695,4.572826
res_131.har,88,2.2681349999991363,4.916126
res_261.har,50,1.6143750000001456,4.823561
res_49.har,53,1.5808150000001477,4.58479
res_427.har,56,1.748153000001592,4.586897
res_383.har,53,1.6897649999987334,4.556702
res_470.har,87,2.1298650000009074,4.935486
res_393.har,58,1.8574169999990553,4.692374
res_296.har,53,1.8744449999999633,4.558261
res_395.har,62,1.858008999998332,4.628257
res_441.har,57,1.9024640000004147,4.571967
res_81.har,54,1.5772609999988927,4.54523
res_266.har,53,1.7489749999992927,4.547243
res_119.har,53,1.8388719999993772,4.539961
res_304.har,84,2.011876999999717,5.259279
res_236.har,53,1.5742019999989862,4.576252
res_493.har,56,1.7440650000009046,4.55138
res_337.har,56,1.68502899999902,4.585329
res_341.har,53,1.5726969999998546,4.530144
res_72.har,88,2.355919000000213,4.95914
res_329.har,61,1.8790830000000278,4.602469
res_435.har,53,1.6136630000003789,4.561448
res_173.har,88,2.241433000000994,4.946126
res_297.har,53,0.2687389999991865,4.598713
res_312.har,54,1.590309999999401,4.552888
res_187.har,53,1.7562189999994298,4.573935
res_242.har,53,1.5775249999985244,4.548201
res_147.har,54,1.7305230000000884,4.568346
res_403.har,54,1.753479000000152,4.57531
res_388.har,58,1.8730990000007441,4.589163
res_36.har,58,1.8759890000004815,4.575739
res_157.har,53,1.5738989999992337,4.544658
res_462.har,86,2.2380639999995764,4.905155
res_1.har,54,1.5749410000011121,4.575446
res_174.har,85,2.2027220000014203,4.917299
res_69.har,88,2.2318979999993753,4.951048
res_421.har,88,2.0754989999996907,4.971507
res_105.har,86,2.424039000000601,4.91876
res_156.har,54,1.6121550000000133,4.568446
res_211.har,87,2.418331999999122,4.96839
res_254.har,56,1.6093940000007132,4.577891
res_114.har,85,2.701737000000081,4.868464
res_406.har,53,1.6011630000004806,4.549474
res_74.har,90,2.421743000000046,4.957523
res_285.har,82,2.22735399999973,4.881923
res_295.har,85,2.478529000000737,4.913405
res_190.har,54,1.8510389999990875,4.570619
res_100.har,54,1.3234189999998633,4.552179
res_225.har,54,1.7697139999987994,4.569062
res_96.har,53,1.8223249999988038,4.555076
res_28.har,53,1.7279399999984015,4.590916
res_19.har,56,1.7622430000001186,4.563027
res_80.har,59,1.8646780000006693,4.554998
res_42.har,87,2.2044950000003594,4.921302
res_476.har,88,2.1873990000009944,4.935933
res_454.har,62,1.9305400000006339,4.682782
res_396.har,54,1.6205289999986707,4.55923
res_30.har,89,2.2297019999992918,4.937204
res_178.har,60,1.8542260000000241,4.578592
res_405.har,90,2.215327999999208,4.946943
res_375.har,89,2.107356000000378,4.956687
res_133.har,63,2.1974399999991294,4.694567
res_71.har,87,2.2050439999998632,4.942286
res_107.har,90,2.463331000000224,4.980209
res_472.har,54,1.5778999999995575,4.559436
res_365.har,92,2.2782719999990224,4.986915
res_411.har,57,1.8483909999993484,4.551966
res_355.har,53,1.5659119999995892,4.557611
res_27.har,53,1.6089949999993987,4.565689
res_162.har,92,2.469456000000282,5.014114
res_257.har,56,1.7841609999990469,4.56624
res_169.har,91,2.4690550000003424,4.949212
res_44.har,53,1.580926999999254,4.55836
res_115.har,88,2.96606799999997,4.947526
res_487.har,52,1.5534819999988103,4.575882
res_264.har,87,2.226073999998887,4.927194
res_201.har,54,1.7727909999996483,4.57601
res_310.har,54,1.6694700000003395,4.552597
res_163.har,87,2.373715000000826,4.912323
res_208.har,53,1.830559000000998,4.541115
res_318.har,90,2.2073699999986713,4.951133
res_222.har,53,1.8085919999998004,4.552488
res_8.har,53,1.5656479999997974,4.569324
res_231.har,53,1.7233849999998492,4.577032
res_367.har,60,1.9313520000004536,4.584674
res_352.har,53,0.9965480000011594,4.538103
res_34.har,88,2.297076999999932,4.995958
res_167.har,68,2.2086639999995676,4.767838
res_444.har,56,1.6355839999999588,4.587178
res_494.har,86,5.276800999999978,4.891559
res_360.har,53,1.6648410000008154,4.559339
res_356.har,56,1.7470099999998638,4.589026
res_269.har,53,1.788769999998607,4.567125
res_473.har,53,1.625282999998468,4.544193
res_25.har,58,1.7146540000006207,4.569961
res_353.har,94,2.1623480000001147,4.946207
res_5.har,53,1.7209310000011901,4.532425
res_495.har,89,2.3117559999997757,4.971361
