Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,50,0.7521420000000726,4.586965
res_120.har,50,0.7758770000004006,4.593116
res_336.har,50,0.8051049999993702,4.590172
res_381.har,59,1.2458129999996745,4.66549
res_293.har,50,0.7864590000000681,4.601847
res_40.har,52,0.8843679999994766,4.627843
res_446.har,50,0.7911230000000069,4.600519
res_56.har,50,0.7323669999994527,4.595052
res_216.har,50,0.734498000000116,4.577069
res_288.har,50,0.8071500000000524,4.597663
res_443.har,50,0.7837349999996223,4.598324
res_313.har,57,1.1878599999996513,4.634501
res_459.har,51,1.0419160000005432,4.5836
res_241.har,58,1.1062039999998452,4.675412
res_226.har,50,0.8112990000004721,4.587553
res_103.har,53,1.0907410000000382,4.612767
res_389.har,57,1.0605169999994906,4.61338
res_246.har,50,0.7760860000000248,4.58584
res_345.har,50,0.8284039999999877,4.596545
res_243.har,56,1.0968019999999743,4.645869
res_137.har,50,0.8355929999999571,4.574428
res_397.har,50,0.7390419999996811,4.584102
res_131.har,50,0.8008169999991883,4.591956
res_261.har,53,1.0372299999996322,4.61276
res_49.har,50,0.773165000000583,4.589068
res_427.har,50,0.8050070000001797,4.602417
res_383.har,50,0.7641830000003101,4.587095
res_470.har,50,0.7450160000001633,4.584474
res_393.har,50,0.8576959999997853,4.590288
res_296.har,50,0.746913999999284,4.590371
res_395.har,50,0.7140999999994965,4.60802
res_441.har,50,0.7361570000000065,4.585104
res_81.har,50,0.8208360000001048,4.591064
res_266.har,50,0.833046999999744,4.588942
res_119.har,50,0.717702999999703,4.59492
res_304.har,51,1.0816990000000442,4.613331
res_236.har,50,0.7871100000004663,4.598626
res_493.har,57,1.0481770000000032,4.636019
res_337.har,50,0.7967119999996285,4.561726
res_341.har,50,0.7871669999997539,4.567918
res_72.har,50,0.80319100000029,4.602149
res_329.har,59,1.239818999999865,4.678021
res_435.har,50,0.7844960000001738,4.592084
res_173.har,50,0.8131640000002445,4.571378
res_297.har,50,0.8283289999998596,4.588575
res_312.har,51,0.9498150000003297,4.611873
res_187.har,58,1.1556680000004926,4.660391
res_242.har,50,0.7847569999997941,4.589836
res_147.har,50,0.8408309999999328,4.595635
res_403.har,50,0.7860139999994863,4.584498
res_388.har,50,0.8109070000003631,4.5936
res_36.har,50,0.7257859999996071,4.594384
res_157.har,50,0.7285790000002816,4.589339
res_462.har,50,0.7794460000002146,4.583422
res_1.har,51,0.9083550000004615,4.723314
res_174.har,50,0.7038310000002893,4.594766
res_69.har,50,0.7315730000001859,4.581334
res_421.har,50,0.811297999999857,4.596604
res_105.har,50,0.7778500000003551,4.591894
res_156.har,50,0.7727579999992231,4.58695
res_211.har,50,0.7097290000003195,4.580888
res_254.har,53,1.0374319999998989,4.611764
res_114.har,50,0.7979629999995014,4.584748
res_406.har,50,0.7856690000000163,4.611227
res_74.har,50,0.8334119999996182,4.595148
res_285.har,50,0.7570710000000909,4.599515
res_295.har,50,0.7077999999997991,4.594065
res_190.har,50,0.8382109999999174,4.572782
res_100.har,50,0.8022819999994827,4.586458
res_225.har,51,0.8182009999993315,4.597117
res_96.har,50,0.7620809999994308,4.596021
res_28.har,50,0.780820000000218,4.594472
res_19.har,50,0.7659289999998146,4.584059
res_80.har,50,0.8196580000001704,4.575172
res_42.har,51,1.0577360000006375,4.59716
res_476.har,50,0.7780259999999253,4.594207
res_454.har,50,0.773335000000443,4.581188
res_396.har,50,0.7647000000005064,4.58699
res_30.har,60,1.2387379999999322,4.658461
res_178.har,57,1.1001699999995471,4.63611
res_405.har,50,0.7394629999999379,4.588932
res_375.har,56,1.1028539999998903,4.625205
res_133.har,50,0.7276830000002082,4.587082
res_71.har,50,0.8389159999999974,4.592965
res_107.har,50,0.8370940000002083,4.594198
res_472.har,50,0.7803920000001235,4.585337
res_365.har,50,0.8515039999999717,4.57979
res_411.har,50,0.7787809999993406,4.585039
res_355.har,53,1.0728580000005385,4.615349
res_27.har,51,0.8437099999992715,4.583568
