Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_464.har,48,1.5010890000002473,4.80499
res_120.har,53,1.5172449999999007,4.552928
res_336.har,90,2.440390999999989,5.009178
res_381.har,55,1.6486940000000032,4.558991
res_293.har,51,1.8077040000000635,4.577173
res_40.har,51,1.5706379999998608,4.536252
res_446.har,54,1.7204799999999232,4.593169
res_56.har,51,1.5558000000003376,4.585136
res_216.har,53,1.5117849999999962,4.546874
res_288.har,86,2.2710599999996774,4.915936
res_443.har,53,1.6484829999997674,4.579385
res_313.har,53,1.6630079999994851,4.565022
res_459.har,47,1.4088629999999176,4.821084
res_241.har,80,2.134936999999518,5.184282
res_226.har,58,1.6798109999994195,4.654991
res_103.har,58,1.7197990000004064,4.609765
res_389.har,51,1.6980510000000069,4.563235
res_246.har,52,1.821950999999972,4.813856
res_345.har,51,1.7150689999997484,4.55774
res_243.har,53,1.5125560000002807,4.548884
res_137.har,60,1.723516999999505,4.601053
res_397.har,51,1.6497030000008381,4.537094
res_131.har,55,1.6495850000005012,4.576535
res_261.har,51,1.6889950000006648,4.582435
res_49.har,53,1.4986749999999374,4.529764
res_427.har,54,1.8121300000007832,4.580714
res_383.har,51,1.6826289999997317,4.579701
res_470.har,51,1.5538159999996715,4.521459
res_393.har,60,1.9171190000004061,4.57162
res_296.har,54,1.7290390000000988,4.553534
res_395.har,53,1.6553399999993053,4.547516
res_441.har,52,1.8989579999995985,4.878436
res_81.har,53,1.5912940000003073,4.563636
res_266.har,51,1.6052139999999127,4.577153
res_119.har,54,1.517653000000486,4.572879
res_304.har,37,1.6593110000000524,4.943299
res_236.har,58,1.7643519999998534,4.565047
res_493.har,51,1.555297999999355,4.552038
res_337.har,53,1.7385310000000027,4.569767
res_341.har,53,1.738676999999625,4.57615
res_72.har,60,1.8106230000004362,4.548132
res_329.har,61,2.06802999999973,4.601144
res_435.har,88,2.4289550000007,4.926671
res_173.har,54,1.5370740000007208,4.531042
res_297.har,54,1.7520049999998009,4.546679
res_312.har,53,1.7083399999999964,4.563735
res_187.har,53,1.5164239999999554,4.562179
res_242.har,86,2.180795999999733,4.935517
res_147.har,83,2.3607709999993456,5.246726
res_403.har,54,1.7497979999998496,4.557441
res_388.har,51,1.7970559999998805,4.543426
res_36.har,51,1.604318000000152,4.594439
res_157.har,51,1.6651229999997303,4.540755
res_462.har,53,1.551854999999894,4.599015
res_1.har,54,1.6934110000004148,4.559135
res_174.har,51,1.5453869999999734,4.550269
res_69.har,51,1.5258710000004139,4.571371
res_421.har,51,1.7243130000003875,4.569811
res_105.har,53,1.4897299999997267,4.572502
res_156.har,47,1.4144600000002319,4.856357
res_211.har,53,1.6320159999997923,4.592531
res_254.har,56,1.714196000000011,4.59417
res_114.har,53,1.6032260000006353,4.581304
res_406.har,48,1.8697019999997937,4.563109
res_74.har,60,1.7432280000003157,4.580046
res_285.har,53,1.786150000000467,4.561252
res_295.har,53,1.668076000000001,4.544673
res_190.har,58,1.7862830000001413,4.597143
res_100.har,53,1.5340560000001788,4.548762
res_225.har,54,1.5409819999995888,4.539996
res_96.har,54,1.5329720000003435,4.558017
res_28.har,53,1.577761999999988,4.586275
res_19.har,53,1.5954950000005483,4.562773
res_80.har,58,1.692681999999797,4.580062
res_42.har,53,1.540626999999855,4.555627
res_476.har,54,1.6078219999999928,4.542106
res_454.har,54,1.6015140000006285,4.543872
res_396.har,53,1.7430690000000322,4.541931
res_30.har,51,1.548835999999792,4.553415
res_178.har,47,1.499713000000178,4.814739
res_405.har,54,1.6826259999997346,4.558183
res_375.har,53,1.733404999999766,4.571284
res_133.har,51,1.5584369999995107,4.592752
res_71.har,60,1.785962000000196,4.591619
res_107.har,53,1.474137999999337,4.55648
res_472.har,53,1.52391599999967,4.540061
res_365.har,53,1.6566849999999032,4.560129
res_411.har,51,1.8852539999997462,4.565268
res_355.har,52,1.7654320000000079,4.551915
res_27.har,53,1.5112790000003298,4.573243
res_162.har,53,1.5782970000001297,4.577847
res_257.har,51,1.5271000000006316,4.541496
res_169.har,61,1.900866999999307,4.570661
res_44.har,55,1.5113279999997467,4.593036
res_115.har,53,1.5999319999997388,4.549063
res_487.har,58,1.7988930000004912,4.618468
res_264.har,90,6.189950000000557,4.964562
res_201.har,53,1.6018189999994792,4.541164
res_310.har,53,1.701797000000013,4.574736
res_163.har,59,1.7271849999997066,4.591418
res_208.har,51,1.5359619999996066,4.548578
res_318.har,54,1.7816469999996771,4.549583
res_222.har,53,1.5275420000005762,4.565303
res_8.har,53,1.5673659999998417,4.602633
res_231.har,53,1.8950740000002115,5.949757
res_367.har,51,1.6884559999997801,4.541711
res_352.har,54,1.651830000000271,4.561246
res_34.har,58,1.7278670000005805,4.574554
res_167.har,92,1.0353270000003323,5.01981
res_444.har,56,1.8924179999997577,4.60581
res_494.har,53,1.5280680000001958,4.552613
res_360.har,51,1.6480389999996914,4.552324
res_356.har,54,1.733725999999122,4.541887
res_269.har,53,1.5404539999996996,4.604027
res_473.har,53,1.5400020000003425,4.546731
res_25.har,54,1.6728430000003283,4.557577
res_353.har,53,1.7266900000002643,4.540081
res_5.har,58,1.7862839999998688,4.578845
res_495.har,51,1.502864999999998,4.567564
res_457.har,54,1.5764200000000275,4.577947
res_420.har,51,1.7164360000003944,4.549582
res_134.har,51,1.587912000000353,4.558188
res_408.har,53,1.7574610000001558,4.562112
