Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,52,1.7719230000001553,4.674272
res_393.har,48,1.5741950000000289,4.632567
res_236.har,48,1.4503020000007818,4.613206
res_154.har,48,1.4474009999999253,4.633731
res_479.har,48,1.858886999999253,4.65181
res_109.har,48,1.558034000000487,4.622184
res_484.har,48,1.648671000000002,4.662162
res_20.har,48,1.5962080000002752,4.617601
res_155.har,48,1.5213490000001184,4.627275
res_24.har,48,1.5006220000001778,4.621453
res_368.har,48,1.5913289999999178,4.638252
res_256.har,48,1.514592999999957,4.636401
res_167.har,48,1.4566890000003259,4.633178
res_327.har,48,1.4601649999997826,4.636557
res_400.har,48,1.410023000000132,4.630824
res_110.har,48,1.4314079999997849,4.645768
res_373.har,48,1.4489750000000203,4.653243
res_123.har,53,1.6055400000000009,4.666558
res_351.har,48,1.7266110000000772,4.631919
res_275.har,48,1.6464139999995895,4.639596
res_489.har,48,1.459449999999859,4.631652
res_469.har,48,1.435273999999612,4.630427
res_367.har,48,1.4067390000004742,4.625652
res_108.har,48,1.439304999999571,4.633362
res_441.har,48,1.6303729999995558,4.636701
res_360.har,52,1.6913940000000949,4.651683
res_136.har,48,1.4304089999995122,4.614675
res_358.har,48,1.5392979999996168,4.627569
res_283.har,48,1.436749000000127,4.640857
res_346.har,48,1.6903499999993437,4.655537
res_254.har,48,1.5060039999996588,4.617243
res_101.har,48,1.5146849999995828,4.623579
res_497.har,48,1.6314830000001166,4.65452
res_67.har,53,1.7178069999998697,4.681357
res_345.har,51,1.048313000000031,4.668667
res_2.har,56,1.9821109999995825,4.659615
res_344.har,48,1.5220999999998894,4.658656
res_398.har,48,1.4973969999996044,4.63838
res_26.har,48,1.4129309999999895,4.607725
res_306.har,47,1.0340510000000358,4.60405
res_134.har,54,1.7251159999995325,4.696089
res_445.har,48,1.3591029999993698,4.64014
res_291.har,48,1.5325419999994991,4.611882
res_8.har,48,1.3925600000000922,4.610798
res_52.har,48,1.574351999999315,4.648129
res_308.har,48,1.3792560000004814,4.617687
res_84.har,48,1.5497790000003733,4.631407
res_438.har,51,1.5908589999999676,4.664769
res_405.har,52,1.7309510000001174,4.677445
res_332.har,48,1.5216210000008576,4.636637
res_470.har,48,1.119244999999457,4.659041
res_382.har,48,1.4099759999994494,4.624958
res_169.har,48,1.5481470000002737,4.651723
res_21.har,48,1.3733490000002275,4.604844
res_43.har,48,1.4361490000000268,4.633472
res_354.har,48,1.5032060000003038,4.661688
res_81.har,48,1.4215790000000634,4.625378
res_118.har,48,1.6330670000001482,4.628321
res_413.har,52,1.7125780000001323,4.676676
res_494.har,48,1.7365610000001326,4.668506
res_105.har,48,1.4364239999992279,4.640671
res_126.har,48,1.7513610000001354,4.640077
res_319.har,48,1.6023090000001685,4.612676
res_459.har,48,1.6001939999998795,4.635994
res_455.har,48,1.3589860000006229,4.628312
res_6.har,48,1.4794689999999537,4.639114
res_362.har,48,1.612275999999867,4.649825
res_204.har,48,1.4098499999997876,4.660079
res_376.har,48,1.4667959999997637,4.634673
res_39.har,48,1.4302959999994709,4.620277
res_318.har,48,1.671636999999704,4.622937
res_13.har,48,1.557729999999654,4.62864
res_255.har,48,1.5535809999999401,4.620663
res_404.har,48,1.549238999999965,4.64661
res_64.har,48,1.6109189999996743,4.64589
res_113.har,48,1.6563459999994956,4.649445
res_356.har,54,1.687456000000013,4.654484
res_390.har,48,1.7080990000000675,4.641476
res_493.har,48,1.4792079999995695,4.627134
res_353.har,48,1.4763880000005885,4.66155
res_314.har,48,1.561168000000187,4.634599
res_359.har,48,1.5042810000001337,4.61894
res_418.har,48,1.5770790000006818,4.669818
res_437.har,48,1.4096500000002634,4.648462
res_196.har,48,1.4169789999993154,4.617588
res_286.har,48,1.5032810000004466,4.638584
res_208.har,48,1.6282769999998927,4.667069
res_389.har,48,1.5282480000003924,4.641117
res_44.har,48,1.5023150000005407,4.597151
res_76.har,48,1.4396359999999768,4.639979
res_37.har,48,1.570712999999654,4.620592
res_310.har,51,1.7109859999996406,4.644885
res_153.har,48,1.5858890000004322,4.653753
res_320.har,48,1.4051850000000632,4.624045
res_207.har,48,1.5569430000003195,4.665622
res_210.har,48,1.4905500000001848,4.617807
res_298.har,48,1.540744999999275,4.645493
res_293.har,48,1.4236600000002,4.628511
res_485.har,48,1.4461270000002477,4.652027
res_174.har,48,1.4528770000007134,4.627765
res_102.har,48,2.1619279999997887,4.615045
res_212.har,48,1.5722909999997865,4.63891
res_40.har,54,1.5841829999998809,4.680642
res_7.har,48,1.6689469999996362,4.637843
res_399.har,48,1.5373279999995793,4.654835
res_195.har,56,1.873461999999483,4.661568
res_341.har,48,1.4979989999997707,4.647028
res_324.har,47,1.5247880000003788,4.638261
res_253.har,48,1.5907759999998743,4.598555
res_120.har,48,1.5265369999995964,4.655503
res_464.har,48,1.5202780000000276,4.638102
res_202.har,48,1.8620149999992137,4.633804
res_468.har,48,1.5119390000003623,4.650834
res_370.har,52,1.6985849999997735,4.678307
res_165.har,48,1.5732549999996264,4.644797
res_205.har,48,1.4641180000007443,4.662785
res_122.har,48,1.6181009999999443,4.646801
res_361.har,52,1.5397549999994518,4.665124
res_80.har,48,1.5393859999999113,4.643116
res_424.har,48,1.5546900000004606,4.631105
res_458.har,48,1.5146360000002606,4.634395
res_349.har,53,1.6691610000005457,4.654496
res_461.har,53,1.6445359999999636,4.684828
res_334.har,50,1.8054489999996368,4.646843
res_159.har,48,1.4053730000004652,4.64904
res_329.har,48,1.4659800000000032,4.65797
res_28.har,48,1.7020340000001233,4.609641
res_60.har,47,1.2293550000003597,4.597597
res_162.har,48,1.411782000000683,4.652809
res_172.har,53,2.0255560000001136,4.680431
res_226.har,48,1.7557250000002822,4.655452
res_65.har,48,1.5571330000007584,4.654573
res_83.har,50,1.7134000000001033,4.635191
res_170.har,48,1.5197460000000065,4.648723
res_97.har,48,1.489527999999278,4.639054
res_14.har,48,1.4581569999997883,4.619407
res_106.har,48,1.4272799999999988,4.620627
res_492.har,48,1.4592149999996182,4.641377
res_41.har,52,1.5421649999996734,4.63552
res_231.har,52,1.4887280000001848,4.665005
res_279.har,48,1.8183590000000696,4.644774
res_42.har,48,1.3874450000005818,4.581719
res_401.har,47,1.5226710000005041,4.655692
res_61.har,48,1.5273229999997056,4.635334
res_143.har,48,1.6004929999997548,4.662882
res_145.har,48,1.3704479999991819,4.674974
res_385.har,48,1.4174460000002291,4.631141
res_483.har,48,1.4436170000002093,4.65062
res_175.har,51,1.5899449999997741,4.641778
res_112.har,48,1.7777299999999523,4.630657
res_69.har,48,1.5753889999997046,4.63153
res_188.har,51,1.5659199999994962,4.625844
res_56.har,48,1.5479690000007176,4.645335
res_27.har,48,1.6713009999992354,4.632978
res_86.har,48,1.4463269999997428,4.638799
res_191.har,47,1.1676659999994299,4.612284
res_22.har,48,1.184816000000661,4.642672
res_442.har,48,1.4606269999994401,4.62913
res_247.har,48,1.5937770000001983,4.592088
res_232.har,56,2.0545549999996218,4.697359
res_246.har,48,1.3872169999997932,4.63928
