Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,51,2.1977399999999108,4.495762
res_393.har,50,2.4789619999992136,4.478104
res_236.har,48,2.51678000000021,4.530563
res_154.har,50,2.3913589999995746,4.497062
res_479.har,48,2.0636479999997754,4.498506
res_109.har,48,2.687640999999952,4.500028
res_484.har,51,2.368159999999829,4.509768
res_20.har,48,2.4282859999997237,4.485854
res_155.har,46,2.3344129999994765,4.492219
res_24.har,48,2.5865259999999837,4.511424
res_368.har,48,2.2509200000003404,4.492792
res_256.har,48,2.186621999999923,4.508611
res_167.har,44,2.2821360000004787,4.796466
res_327.har,87,2.654376000000098,5.02221
res_400.har,50,2.554179999999869,4.500463
res_110.har,48,0.2563000000000102,4.502691
res_373.har,48,2.070278000000457,4.51184
res_123.har,88,3.1348770000002553,4.917584
res_351.har,48,2.8160560000000188,4.499833
res_275.har,47,2.27441600000007,4.772386
res_489.har,82,3.8414490000005754,4.866595
res_469.har,48,2.3760660000001588,4.501968
res_367.har,51,2.056204000000602,4.518045
res_108.har,44,2.6138529999995517,4.811906
res_441.har,48,2.428112999999881,4.524182
res_360.har,48,3.9510480000004464,4.502745
res_136.har,49,2.270247000000141,4.476596
res_358.har,87,2.6636390000003956,4.895377
res_283.har,49,1.910401999999769,4.529611
res_346.har,51,2.3893820000000123,4.541877
res_254.har,58,2.949839,4.593972
res_101.har,51,2.5820660000004647,4.490999
res_497.har,48,2.581260999999933,4.51514
res_67.har,48,4.045960999999843,4.515979
res_345.har,48,2.5693459999999395,4.508787
res_2.har,48,2.4637070000003223,4.503096
res_344.har,49,2.21524000000026,4.510712
res_398.har,48,2.806139000000403,4.518474
res_26.har,48,2.2655460000000747,4.51616
res_306.har,51,2.282627999999524,4.495231
res_134.har,51,5.156574000000117,4.502309
res_445.har,48,2.249406999999759,4.515806
res_291.har,51,2.2228950000007246,4.514829
res_8.har,48,2.552350000000333,4.513628
res_52.har,46,1.9419230000002354,4.523318
res_308.har,85,1.0516649999997099,4.978248
res_84.har,83,3.4325169999994105,4.812693
res_438.har,48,2.254383000000162,4.525109
res_405.har,87,3.397759000000129,4.876881
res_332.har,48,2.122483999999218,4.498522
res_470.har,51,2.273446000000149,4.525722
res_382.har,89,3.1381699999995543,4.911518
