Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,53,1.6389720000000234,4.653006
res_393.har,53,1.5644870000000228,4.678922
res_236.har,48,1.5894599999999846,4.608313
res_154.har,48,1.434983999999935,4.627715
res_479.har,53,1.5185229999999428,4.66951
res_109.har,47,1.3604559999999801,4.608028
res_484.har,48,1.5182649999999702,4.634806
res_20.har,47,1.2546659999999938,4.647975
res_155.har,48,1.5582619999999916,4.62221
res_24.har,47,1.18604100000003,4.632467
res_368.har,54,1.5924239999998462,4.661875
res_256.har,47,1.0668299999999982,4.617184
res_167.har,53,1.7046879999999656,4.654189
res_327.har,48,1.425821000000007,4.648522
res_400.har,47,1.1037010000001173,4.60578
res_110.har,48,1.4705559999999895,4.618637
res_373.har,48,1.478849000000162,4.636372
res_123.har,48,1.4188740000000035,4.637324
res_351.har,52,1.5037259999999624,4.651076
res_275.har,48,1.530305000000073,4.639789
res_489.har,50,1.4757779999998528,4.625103
res_469.har,53,1.52175400000003,4.676036
res_367.har,47,1.0588920000000581,4.626142
res_108.har,47,1.3383990000000376,4.64918
res_441.har,48,1.430194999999847,4.648744
res_360.har,48,1.33030400000008,4.630389
res_136.har,47,1.1439700000000304,4.645254
res_358.har,48,1.403777999999933,4.631098
res_283.har,48,1.406219000000001,4.623075
res_346.har,48,1.5039819999999162,4.645113
res_254.har,48,1.792575000000077,4.625751
res_101.har,47,1.256413000000015,4.648519
res_497.har,48,1.549620999999941,4.63112
res_67.har,47,1.1272430000000058,4.618043
res_345.har,48,1.5719709999999614,4.59367
res_2.har,47,1.1593499999999985,4.617967
res_344.har,48,1.5308949999999095,4.634539
res_398.har,47,1.3299279999998834,4.651207
res_26.har,47,1.3451559999999954,4.645352
res_306.har,48,1.4260409999999284,4.638968
res_134.har,48,1.4814100000000363,4.639932
res_445.har,54,1.5487520000000805,4.678171
res_291.har,52,1.589652999999933,4.643168
res_8.har,47,1.2623920000000144,4.627597
res_52.har,48,1.8633539999999922,4.617479
res_308.har,52,1.6481200000000318,4.679861
res_84.har,47,1.1847650000000012,4.624352
res_438.har,48,1.3774070000001375,4.626501
res_405.har,48,1.7729179999999651,4.626133
res_332.har,48,1.4583909999999014,4.635239
res_470.har,52,1.4217239999999656,4.649676
res_382.har,48,1.6118300000001182,4.626042
res_169.har,47,1.2523620000000593,4.617399
res_21.har,47,1.338613000000005,4.608037
res_43.har,48,1.8170149999999812,4.645879
res_354.har,48,1.5412890000000043,4.62754
res_81.har,47,1.2251419999999624,4.632237
res_118.har,52,1.7351259999999966,4.677866
res_413.har,56,1.7016610000000365,4.692098
res_494.har,48,1.8327159999998839,4.602463
res_105.har,47,1.2408380000000216,4.636274
res_126.har,48,1.4755029999999898,4.610691
res_319.har,48,1.5457000000000116,4.645448
res_459.har,48,1.4771169999998892,4.632244
res_455.har,48,1.4317520000000623,4.626567
res_6.har,47,1.164221000000005,4.652229
res_362.har,48,1.6582889999999606,4.627364
res_204.har,48,1.4862269999999371,4.637252
res_376.har,48,1.4672749999998833,4.642771
res_39.har,47,1.1837260000000442,4.629434
res_318.har,48,1.661940999999999,4.647563
res_13.har,48,1.631726999999997,4.647561
res_255.har,48,1.5456200000000755,4.634693
res_404.har,48,1.557197999999893,4.637314
res_64.har,47,1.2390039999999753,4.644588
res_113.har,47,1.2249129999999677,4.628366
res_356.har,48,1.3712660000000432,4.6316
res_390.har,48,1.4064389999999767,4.635231
res_493.har,53,1.8332630000000791,4.67064
res_353.har,48,1.4732779999998475,4.625295
res_314.har,48,1.3983559999999562,4.634306
res_359.har,48,1.569457000000104,4.613655
res_418.har,48,1.3842359999999754,4.620952
res_437.har,48,1.6359880000000848,4.630836
res_196.har,48,1.456222999999991,4.63776
res_286.har,48,1.5974389999999548,4.64734
res_208.har,48,1.5337040000000233,4.635564
res_389.har,48,1.3209890000001032,4.618549
res_44.har,47,1.1344370000000126,4.639006
res_76.har,47,1.2279240000000136,4.603716
res_37.har,47,1.3602140000000045,4.602926
res_310.har,48,1.663594999999932,4.62505
res_153.har,48,1.5159059999999953,4.629167
res_320.har,48,1.5332009999999792,4.617916
res_207.har,48,1.4825599999999104,4.621132
res_210.har,50,1.6420199999999423,4.620808
res_298.har,54,1.6970320000000092,4.625776
res_293.har,48,1.719370999999992,4.620759
res_485.har,48,1.3146389999999664,4.641778
res_174.har,48,1.6436200000000072,4.625312
res_102.har,48,1.6893289999999748,4.627054
res_212.har,48,1.4831170000000056,4.626794
res_40.har,47,1.348380000000001,4.64616
res_7.har,47,1.1847229999999835,4.64501
res_399.har,47,1.2628519999998606,4.645036
res_195.har,48,1.5633070000000153,4.621529
