Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,49,2.334114000000136,5.917422
res_393.har,51,1.9141559999999591,4.503855
res_236.har,51,2.345976999999599,4.50535
res_154.har,48,1.219655999999988,4.500784
res_479.har,48,2.766410000000098,4.518501
res_109.har,48,2.6535790000001143,4.496986
res_484.har,49,2.6542590000000383,4.487647
res_20.har,46,2.7107409999999525,4.807862
res_155.har,49,2.661339000000124,4.483277
res_24.har,49,2.0831760000000066,4.494022
res_368.har,43,2.179127999999997,4.641617
res_256.har,49,2.4886370000002063,4.513781
res_167.har,51,3.439195000000109,4.518567
res_327.har,48,2.9306610000003785,4.506129
res_400.har,46,2.006607000000029,4.475676
res_110.har,48,2.6383839999999474,4.492819
res_373.har,49,2.3885529999998836,5.904116
res_123.har,49,3.086582999999977,4.508205
res_351.har,48,2.616977999999959,4.516205
res_275.har,48,2.556980000000054,4.498691
res_489.har,49,2.1689809999999707,4.503046
res_469.har,49,2.241199000000277,4.487228
res_367.har,49,2.1641069999998472,4.520699
res_108.har,49,2.244807999999932,4.521368
res_441.har,51,2.212597999999878,4.502588
res_360.har,86,4.005037999999713,4.85037
res_136.har,49,0.2527760000000417,4.488965
res_358.har,48,0.9606959999998944,4.500852
res_283.har,48,2.72696799999979,4.503741
res_346.har,49,2.226147999999943,4.518411
res_254.har,54,2.349680000000131,4.535388
res_101.har,49,1.997214999999933,4.502385
res_497.har,48,3.068244999999832,4.505006
res_67.har,46,2.199236000000061,4.523884
res_345.har,51,4.022843999999939,4.512797
res_2.har,82,2.8913469999999615,4.842878
res_344.har,48,2.357094999999961,4.530309
res_398.har,85,2.823347999999958,4.90534
res_26.har,86,3.666639000000079,4.868595
res_306.har,49,2.474724999999686,4.484928
res_134.har,45,2.669364000000016,4.800613
res_445.har,48,2.2623889999998754,4.499708
res_291.har,50,2.3957860000001165,4.51616
res_8.har,54,2.906541000000161,4.507676
res_52.har,51,0.2652160000000076,4.507526
res_308.har,49,2.2555819999999693,4.504838
res_84.har,49,3.6489190000001543,4.530024
res_438.har,51,2.499967999999819,4.503912
res_405.har,84,2.51186100000007,4.869372
res_332.har,48,2.308251000000069,4.506122
res_470.har,48,2.42883000000022,4.497817
res_382.har,87,2.662880000000325,4.921082
res_169.har,52,2.819026000000078,4.489671
res_21.har,49,2.304866000000087,4.519455
res_43.har,49,2.6723899999999996,4.481
res_354.har,49,2.346149999999696,4.502917
res_81.har,48,2.8099689999998465,4.505119
res_118.har,49,2.239736000000017,4.520426
res_413.har,51,2.0314180000000053,4.526676
res_494.har,49,2.4838679999997293,4.495747
res_105.har,49,2.3616279999999605,4.499422
res_126.har,51,2.3875619999999143,4.510313
res_319.har,80,2.994799999999901,5.146524
res_459.har,49,2.0644120000001496,4.499772
res_455.har,48,2.3213940000001165,4.486147
res_6.har,49,2.043857000000022,4.506555
res_362.har,57,2.5168129999998454,4.856743
res_204.har,49,3.1290409999999245,4.52475
res_376.har,49,2.158659999999749,4.508008
res_39.har,51,3.766597000000165,4.508334
res_318.har,50,2.6930679999997955,4.499375
res_13.har,49,2.5864259999999413,4.54758
res_255.har,49,2.7378779999997316,4.495621
res_404.har,50,2.324404000000133,4.493867
res_64.har,48,1.2785610000000087,4.48692
res_113.har,49,2.435104000000043,4.499651
res_356.har,49,2.202690999999912,4.498229
res_390.har,49,2.0709820000000763,4.496077
res_493.har,87,2.7073460000000193,4.900966
res_353.har,51,2.2489610000000537,4.531093
res_314.har,49,2.1674910000002345,4.507172
res_359.har,49,2.4207790000001115,4.513446
res_418.har,51,2.466297000000108,4.522618
res_437.har,55,2.345278999999784,4.573462
res_196.har,49,2.1953789999999938,4.518491
res_286.har,49,2.1900319999999738,4.494758
res_208.har,51,2.376825999999579,4.534813
res_389.har,60,2.6607280000002067,4.659542
res_44.har,48,4.9006869999999765,4.552504
res_76.har,49,2.262396000000066,4.496442
res_37.har,48,2.6321650000001062,4.493305
