Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,52,1.6032660000000323,4.66675
res_393.har,48,1.472592999999979,4.633919
res_236.har,48,1.4809649999999237,4.647243
res_154.har,52,1.543620999999992,4.672667
res_479.har,48,1.329314000000144,4.622081
res_109.har,48,1.4182629999999918,4.652245
res_484.har,48,1.4555460000000093,4.658393
res_20.har,47,1.1869330000000082,4.624285
res_155.har,52,1.4282129999999815,4.675013
res_24.har,48,1.5736990000000077,4.66644
res_368.har,48,1.4677019999999465,4.622243
res_256.har,48,1.383902000000002,4.651668
res_167.har,47,1.231981000000027,4.651257
res_327.har,48,1.5092289999999848,4.643813
res_400.har,48,1.0749679999999935,4.618886
res_110.har,48,1.377626999999986,4.659733
res_373.har,48,1.4931040000000977,4.621547
res_123.har,48,1.4289940000000134,4.633294
res_351.har,48,1.444693000000003,4.658299
res_275.har,47,1.0736429999999673,4.614207
res_489.har,53,1.5327600000001038,4.655123
res_469.har,48,1.3189040000000751,4.63362
res_367.har,54,1.59713400000002,4.696208
res_108.har,48,1.3866789999999891,4.667879
res_441.har,48,1.464361999999972,4.619849
res_360.har,47,1.0628769999999677,4.644974
res_136.har,48,1.4930180000000473,4.649733
res_358.har,48,1.4911440000000658,4.663984
res_283.har,48,1.4103120000000708,4.623955
res_346.har,47,1.0906709999999584,4.656594
res_254.har,47,1.0531630000000187,4.679295
res_101.har,48,1.4209839999999823,4.625037
res_497.har,48,1.4152070000000676,4.654878
res_67.har,52,1.5963099999999941,4.665211
res_345.har,48,1.3724279999999125,4.650678
res_2.har,47,1.3724850000000006,4.645282
res_344.har,48,1.4865499999999738,4.633166
res_398.har,48,1.452097000000038,4.653774
res_26.har,47,1.2172159999999859,4.642625
res_306.har,47,0.9904439999999631,4.645129
res_134.har,48,1.4156529999999912,4.65459
res_445.har,48,1.4158290000000124,4.658322
res_291.har,48,1.399206999999995,4.631074
res_8.har,47,1.1613449999999939,4.653016
res_52.har,50,1.5419349999999976,4.630408
res_308.har,47,1.0553110000000452,4.649057
res_84.har,47,1.0654449999999924,4.642553
res_438.har,48,1.3675070000000087,4.641878
