Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,51,2.7023510000000606,4.495406
res_393.har,48,2.4255499999998427,4.494465
res_236.har,51,2.139326000000099,4.503529
res_154.har,51,2.3812500000001093,4.525615
res_479.har,48,1.9880930000000445,4.520893
res_109.har,48,2.0746899999998494,4.50814
res_484.har,48,2.2756470000002262,4.508348
res_20.har,48,2.0666270000000657,4.516777
res_155.har,83,3.1840150000001524,5.233137
res_24.har,36,1.971754999999932,4.569639
res_368.har,50,2.5252179999996804,4.500739
res_256.har,54,2.2229829999999784,4.527371
res_167.har,51,2.302184000000019,4.551455
res_327.har,48,2.4427879999997093,4.463789
res_400.har,48,2.282218000000255,4.497346
res_110.har,51,2.3940230000000158,4.515418
res_373.har,37,2.4167209999998884,4.578977
res_123.har,48,1.9971559999999553,4.496613
res_351.har,48,2.313678000000058,4.486051
res_275.har,58,2.4637179999998478,4.985451
res_489.har,44,2.2866920000001847,4.779948
res_469.har,48,2.3275820000002825,4.484905
res_367.har,48,2.24299500000005,4.52211
res_108.har,48,2.230456999999871,4.501835
res_441.har,48,2.3297410000001983,4.49604
res_360.har,49,2.286649999999987,4.514778
res_136.har,50,2.1619210000001767,4.488586
res_358.har,48,2.657880999999652,4.52649
res_283.har,48,2.573696000000047,4.516739
res_346.har,48,2.4044039999999223,4.518004
res_254.har,54,2.2944699999998304,4.512005
res_101.har,48,2.1629679999998626,4.530233
res_497.har,48,2.4535619999996414,4.512678
res_67.har,48,2.0282929999999904,4.521423
res_345.har,49,2.3507150000001746,4.504112
res_2.har,48,1.7921199999999662,4.514781
res_344.har,48,2.4925769999997685,4.536453
res_398.har,48,2.34964200000016,4.504962
res_26.har,51,2.1820530000000433,4.512416
res_306.har,48,2.704298999999821,4.477697
res_134.har,48,2.0799579999998676,4.515956
res_445.har,48,2.257363999999685,4.507097
res_291.har,48,2.961549000000159,4.502632
res_8.har,50,2.1485029999998444,4.487436
res_52.har,48,2.2682770000000017,4.500865
res_308.har,48,2.549301999999905,4.495225
res_84.har,48,2.2111620000000585,4.517242
res_438.har,48,2.567785999999833,4.503766
res_405.har,48,2.3158750000000254,4.482556
res_332.har,48,2.5125289999998497,4.532079
res_470.har,48,2.3301700000000056,4.465292
res_382.har,48,2.436085000000003,4.502443
res_169.har,48,2.493696000000098,4.534277
res_21.har,48,2.2111920000000684,4.520554
res_43.har,48,2.059209000000075,4.528027
res_354.har,49,2.3177680000001275,4.541955
res_81.har,48,2.083617000000009,4.506261
res_118.har,48,2.299087999999938,4.499194
res_413.har,48,2.296598000000144,4.495901
res_494.har,48,2.498655999999857,4.522826
res_105.har,49,2.0986120000000263,4.531547
res_126.har,50,2.3192429999998057,4.490778
res_319.har,48,2.5819530000000377,4.509402
res_459.har,48,2.501056999999724,4.528121
res_455.har,45,2.222318000000043,4.825556
res_6.har,50,2.123384000000049,4.496854
res_362.har,48,1.0356549999997442,4.510637
res_204.har,48,2.2708350000000936,4.497943
res_376.har,48,2.2728199999997813,4.497067
res_39.har,48,2.345656000000099,4.490091
res_318.har,51,2.5800839999997187,4.521187
res_13.har,48,2.2157050000000473,4.519541
res_255.har,48,2.5110219999999828,4.516157
res_404.har,48,2.411022000000049,4.525974
res_64.har,51,2.445804000000142,5.937953
res_113.har,50,1.925064999999835,4.504373
res_356.har,44,2.240463999999847,4.773348
res_390.har,50,2.3867009999998445,4.524368
res_493.har,48,2.4910300000000207,4.530131
res_353.har,50,2.3978889999999446,4.525861
res_314.har,48,2.910349000000231,4.514501
res_359.har,86,3.0682440000003406,5.256219
res_418.har,50,2.6115880000003235,4.853202
res_437.har,48,2.3158289999998813,4.530969
res_196.har,50,2.255590999999913,4.490935
res_286.har,48,2.419137999999992,4.470698
res_208.har,83,2.797377000000015,4.904461
res_389.har,49,2.3002550000000848,4.495012
res_44.har,50,2.1507389999999433,4.537876
res_76.har,48,2.016342000000077,4.497176
res_37.har,48,2.0412759999999737,4.514346
res_310.har,48,2.4279249999996755,4.511011
res_153.har,50,2.411880000000052,4.49755
res_320.har,51,2.483068000000101,4.532
res_207.har,45,2.048926999999947,4.772633
res_210.har,51,2.2432200000001505,4.504468
res_298.har,48,2.4907149999999603,4.483483
res_293.har,50,2.7315880000000363,4.510484
res_485.har,48,2.2498269999997826,4.525384
res_174.har,48,2.0131819999999787,4.51561
res_102.har,51,2.0333769999998657,4.537064
res_212.har,48,2.2924440000001414,4.482471
res_40.har,51,2.277182000000088,4.49898
res_7.har,51,2.3233430000000954,4.530821
res_399.har,48,2.3586280000002153,4.503685
res_195.har,48,2.3403730000000214,4.495041
res_341.har,49,2.519658999999956,4.523664
res_324.har,51,1.22317800000016,4.488204
res_253.har,50,2.4951829999998334,4.518968
res_120.har,51,2.1810150000001305,4.510714
res_464.har,50,2.4199359999999834,4.536806
res_202.har,48,2.131163000000073,4.481033
res_468.har,48,2.6974090000000617,4.532671
res_370.har,48,2.2946929999999774,4.474921
res_165.har,48,2.460481000000049,4.508516
res_205.har,48,2.164260000000091,4.503018
res_122.har,51,2.0871310000000522,4.517001
res_361.har,51,2.540466000000204,4.487731
res_80.har,85,2.7451730000001464,5.209893
res_424.har,48,2.656411000000011,4.476453
res_458.har,51,2.5543699999999445,4.533848
res_349.har,51,2.5948689999999224,4.535603
res_461.har,51,2.331444999999614,4.540834
res_334.har,48,2.766136999999944,4.511924
res_159.har,49,2.155092999999877,4.534676
res_329.har,51,2.650654000000137,4.497296
res_28.har,50,2.092442000000039,4.493397
res_60.har,51,2.026865999999931,4.519099
res_162.har,61,2.5989050000002134,4.559948
res_172.har,51,2.1015749999998152,4.505646
res_226.har,48,1.062826000000001,4.51466
res_65.har,50,2.172952999999987,4.538918
res_83.har,59,2.4582699999998656,4.973382
res_170.har,48,2.2854319999999206,4.541404
res_97.har,48,2.13517399999997,4.511698
res_14.har,48,2.0787550000000627,4.544152
res_106.har,48,2.2018640000000307,4.532629
res_492.har,48,2.4395029999999607,4.516529
res_41.har,48,2.101450999999899,4.530472
res_231.har,49,1.915327000000034,4.551188
res_279.har,48,2.450403999999973,4.460523
res_42.har,48,2.334327000000019,4.477927
res_401.har,50,1.2485189999996364,4.507291
res_61.har,49,2.1199460000001453,4.501931
res_143.har,48,2.479310000000014,4.507181
res_145.har,48,2.4686370000000317,4.507787
res_385.har,48,2.3961949999998904,4.49308
res_483.har,48,2.419779999999617,4.499713
res_175.har,48,2.09108100000002,4.536756
res_112.har,48,1.9642559999999503,4.543429
res_69.har,48,2.352692999999963,4.49576
res_188.har,48,2.3753039999998693,4.52206
res_56.har,48,2.0763669999999474,4.467909
res_27.har,51,2.078024999999994,4.527828
res_86.har,48,1.9404859999998663,4.532241
res_191.har,48,2.0107699999999857,4.521033
res_22.har,48,2.1705240000000887,4.497601
res_442.har,48,2.3577430000000894,4.514699
res_247.har,44,1.22333500000005,4.826041
res_232.har,48,2.309679000000113,4.501645
res_246.har,39,2.067702999999987,4.510408
res_200.har,48,2.0916040000000504,4.492356
res_431.har,49,2.3397340000001643,4.492573
res_496.har,48,2.4568989999996993,4.566598
res_179.har,49,2.0838390000001166,4.54996
res_440.har,48,1.5306499999999215,4.513547
res_185.har,49,2.042104000000025,4.582112
res_371.har,48,2.4149080000000285,4.528935
res_235.har,51,2.201849000000002,4.478138
res_388.har,50,2.4159189999999033,4.532699
res_215.har,44,2.106626000000124,4.768762
