Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,47,1.1186260000000112,4.638735
res_393.har,48,1.4834849999999316,4.651236
res_236.har,47,1.0867129999999052,4.615725
res_154.har,48,1.4533420000000843,4.656467
res_479.har,48,1.4584570000000494,4.628917
res_109.har,48,1.4026629999998985,4.65943
res_484.har,48,1.2664859999999099,4.624628
res_20.har,47,1.054031000000239,4.634003
res_155.har,47,1.0850529999999563,4.654321
res_24.har,47,1.1178480000000273,4.619274
res_368.har,48,1.4537580000000707,4.654901
res_256.har,48,1.4461040000000975,4.64965
res_167.har,48,1.376531999999912,4.639492
res_327.har,47,1.106782000000072,4.61633
res_400.har,48,1.3596209999997955,4.628807
res_110.har,48,1.488364000000256,4.651754
res_373.har,48,1.43276800000004,4.654637
res_123.har,48,1.3464789999999558,4.63632
res_351.har,48,1.4472700000002514,4.625946
res_275.har,47,1.0926150000003836,4.626988
res_489.har,53,1.390515999999814,4.682962
res_469.har,54,1.4151679999997322,4.617451
res_367.har,48,1.424636999999846,4.658066
res_108.har,48,1.4363469999999434,4.620587
res_441.har,48,1.2938629999998483,4.61954
res_360.har,48,1.4596699999999947,4.651632
res_136.har,49,1.6366900000002351,4.631991
res_358.har,48,1.4202909999998337,4.61731
res_283.har,47,1.0380950000000775,4.646599
res_346.har,50,1.5474200000003258,4.667417
res_254.har,48,1.4175039999999026,4.652196
res_101.har,48,1.3991510000000125,4.61153
res_497.har,53,1.5695110000001296,4.655157
res_67.har,48,1.4237350000002333,4.627524
res_345.har,47,1.0980390000002225,4.649004
res_2.har,48,1.3791939999997849,4.637257
res_344.har,48,1.470447000000102,4.629746
res_398.har,51,1.5578040000000182,4.640281
res_26.har,48,1.3902330000001566,4.644615
res_306.har,48,1.4392309999998105,4.649696
res_134.har,47,1.105958000000086,4.630469
res_445.har,48,1.4024900000004017,4.656128
res_291.har,47,1.148821999999971,4.616822
res_8.har,48,1.5478850000002422,4.62455
res_52.har,48,1.5038749999997707,4.655774
res_308.har,48,1.431270999999946,4.650045
res_84.har,48,1.390230000000316,4.641117
res_438.har,53,1.509578000000074,4.657393
res_405.har,48,1.3193270000001502,4.632583
res_332.har,48,1.465923999999941,4.656663
