Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,48,2.039866000000118,4.520092
res_393.har,48,2.284212000000014,4.49856
res_236.har,49,2.0531179999995874,4.478798
res_154.har,48,2.1352910000001137,4.542324
res_479.har,48,2.2713259999995787,4.530424
res_109.har,48,2.0982510000001713,4.488143
res_484.har,49,2.042522000000361,4.545472
res_20.har,45,1.9607049999999797,4.792082
res_155.har,48,2.6592420000004275,5.916013
res_24.har,51,2.382820000000036,4.50271
res_368.har,49,1.9293649999994449,4.472913
res_256.har,52,2.2982440000005444,4.494292
res_167.har,51,2.175747000000469,4.500134
res_327.har,49,2.2139340000007435,4.504562
res_400.har,49,2.242110999999597,4.497583
res_110.har,49,2.038994000000799,4.49952
res_373.har,49,2.05849799999965,4.532865
res_123.har,51,2.1789609999997337,4.5
res_351.har,48,1.7783770000002987,4.493959
res_275.har,49,2.1403069999998405,4.49784
res_489.har,49,2.1470030000000335,4.525422
res_469.har,48,2.1611749999998646,4.509171
res_367.har,49,2.029647999999623,4.509524
res_108.har,48,2.283681999999826,4.497155
res_441.har,53,2.1920390000000336,4.509226
res_360.har,52,2.288963999999796,4.521716
res_136.har,52,2.2394269999995524,4.480623
res_358.har,51,2.1944630000006073,4.529029
res_283.har,49,2.049840999999884,4.487912
res_346.har,85,2.558729999999487,4.900122
res_254.har,51,2.220168999999303,4.493222
res_101.har,51,2.2009259999995336,4.478814
res_497.har,49,2.285910000000105,4.525552
res_67.har,49,1.998195999999436,4.527705
res_345.har,50,2.067391999999578,4.494451
res_2.har,49,2.012005000000114,4.501309
res_344.har,52,2.108363000000565,4.484916
res_398.har,49,2.2781229999996286,4.515546
res_26.har,52,2.178659999999152,4.483873
res_306.har,48,2.0190529999997233,4.472691
res_134.har,49,2.2153279999993902,4.51803
res_445.har,51,2.1489599999998825,4.473376
res_291.har,48,2.137608000000488,4.512283
res_8.har,49,2.2654440000000577,4.506918
res_52.har,52,2.056694999999934,4.506924
res_308.har,52,1.9887729999994481,4.486497
res_84.har,49,2.166083000000777,4.526678
res_438.har,48,2.1486000000003695,4.45986
res_405.har,48,2.274659999999545,4.469905
res_332.har,52,2.335847000000169,4.489225
res_470.har,51,2.2638820000008493,4.50546
res_382.har,49,2.080287000000426,4.532679
res_169.har,45,1.938053000000291,4.813968
res_21.har,49,2.0609080000003885,4.504679
res_43.har,51,2.12183999999956,4.510221
res_354.har,51,2.086644000000888,4.512634
res_81.har,47,2.111112999999808,4.790071
res_118.har,52,2.2767390000001253,4.489658
res_413.har,51,2.3234609999995883,4.501469
res_494.har,52,2.3959329999997134,4.483257
res_105.har,41,2.0394210000001114,4.580506
res_126.har,48,2.1369259999999777,4.506331
res_319.har,47,2.1250659999997805,4.803363
res_459.har,49,1.92919200000001,4.515245
res_455.har,51,2.02608300000021,4.535861
res_6.har,48,2.2416239999998324,4.507866
res_362.har,45,1.935246000000181,4.775291
res_204.har,51,2.1985719999996074,4.510066
res_376.har,49,1.9382989999993223,4.523163
res_39.har,51,2.190546999999562,4.541639
res_318.har,49,1.8584059999994498,4.495394
res_13.har,50,1.8265729999996911,4.466584
res_255.har,51,2.1116150000001,4.493736
res_404.har,55,2.3935410000007105,4.883046
res_64.har,48,2.286401999999558,4.493871
res_113.har,51,2.126872000000185,4.521096
res_356.har,49,2.105893000000178,4.505399
res_390.har,49,1.9649379999995726,4.53086
res_493.har,49,2.0769869999998045,4.513475
res_353.har,51,2.037750000000473,4.497014
res_314.har,52,2.246842999999586,4.51295
res_359.har,51,2.1365059999994847,4.550762
res_418.har,49,2.0079509999997245,4.484338
res_437.har,51,2.2947980000005264,4.520605
res_196.har,48,0.24794399999973393,4.519443
res_286.har,49,1.9422120000000722,4.534522
res_208.har,51,2.1069929999995294,4.496826
res_389.har,49,2.141235000000168,4.515484
res_44.har,52,2.4113019999999743,4.505277
res_76.har,52,2.0344980000000144,4.499673
res_37.har,52,2.2970789999997288,4.48253
res_310.har,51,2.106408999999774,4.534196
res_153.har,48,2.3549100000008623,4.490043
res_320.har,49,1.9429689999995534,4.523394
res_207.har,52,2.071366000000155,4.481126
res_210.har,48,2.122789999999739,4.495191
res_298.har,48,2.1593439999999973,4.499297
res_293.har,51,2.0946240000007963,4.543899
res_485.har,51,0.27811800000017683,4.536221
res_174.har,45,0.28184799999962706,4.773608
res_102.har,48,2.091908000000156,4.479569
res_212.har,56,2.2040080000000306,4.850681
res_40.har,51,2.224687000000493,4.469812
res_7.har,48,2.1611970000003167,4.495433
res_399.har,48,2.2706480000002047,4.477002
res_195.har,49,2.008719999999754,4.497051
res_341.har,48,2.28325999999966,4.518234
res_324.har,49,2.2873799999997937,4.517224
res_253.har,48,2.001053000000167,4.466684
res_120.har,48,2.226534000000291,4.512251
res_464.har,45,2.0530349999997997,4.836305
res_202.har,48,2.2788390000005094,4.521992
res_468.har,51,2.216414000000281,4.494935
res_370.har,51,2.2045999999998966,4.507358
res_165.har,51,2.2241790000005857,4.508355
res_205.har,51,2.209412999999782,4.538189
res_122.har,51,2.1292000000004117,4.479703
res_361.har,49,1.9629859999999244,4.483904
res_80.har,48,2.0548989999996485,4.505492
res_424.har,37,1.9061730000001043,4.556562
res_458.har,51,2.130794999999998,4.530326
res_349.har,48,2.118819000000178,4.517811
res_461.har,49,2.165287999999695,4.540937
res_334.har,37,1.9578529999992025,4.530115
res_159.har,49,2.0507180000005394,4.474586
res_329.har,48,0.9981770000000615,4.516014
res_28.har,51,2.186987999999372,4.503306
res_60.har,49,2.1298329999994965,4.516752
res_162.har,48,2.1404159999998593,4.536023
res_172.har,48,2.232834000000199,4.489716
res_226.har,49,1.9165220000001282,4.493515
res_65.har,51,2.125079999999936,4.498243
res_83.har,49,2.24296300000012,4.495691
res_170.har,49,2.175369999999726,4.51335
res_97.har,49,2.1805940000007102,4.497562
res_14.har,52,2.0993940000002405,4.507693
res_106.har,51,2.265857000000622,4.522959
res_492.har,51,2.1225150000005453,4.512519
res_41.har,49,0.8647320000000036,4.500142
res_231.har,45,2.0722960000004025,4.802451
res_279.har,49,2.0218160000002317,4.504881
res_42.har,48,2.2306329999999726,4.504322
res_401.har,48,2.324073999999775,4.528985
res_61.har,53,2.0322359999995823,4.791927
res_143.har,45,1.9831660000003466,4.808631
res_145.har,49,2.086449000000044,4.489936
res_385.har,51,2.0731480000003795,4.567667
res_483.har,51,2.075957000000126,4.525741
res_175.har,52,2.2195230000004087,4.517957
