Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,68,5.306898999999866,6.382397
res_393.har,69,4.6939089999998105,6.434918
res_236.har,68,5.89606000000002,6.426791
res_154.har,70,5.209199999999946,6.453842
res_479.har,70,5.454388999999839,6.438881
res_109.har,70,4.709496999999959,6.440475
res_484.har,69,4.544121000000181,6.429322
res_20.har,67,5.3185499999999415,6.437304
res_155.har,68,5.0744110000000004,6.444333
res_24.har,69,5.47480100000001,6.422052
res_368.har,69,5.192843000000226,6.403396
res_256.har,70,5.183019000000109,6.445072
res_167.har,69,5.204334000000156,6.439999
res_327.har,70,4.762277999999875,6.461911
res_400.har,70,2.068959999999948,6.429605
res_110.har,69,4.76042799999992,6.39872
res_373.har,70,4.860224999999897,6.468747
res_123.har,70,4.638713999999905,6.403457
res_351.har,68,4.700276000000027,6.449476
res_275.har,70,5.054106999999951,6.450922
res_489.har,66,5.472069000000018,6.386221
res_469.har,69,4.745462999999894,6.428081
res_367.har,69,4.521218999999953,6.421456
res_108.har,70,5.338459999999882,6.432847
res_441.har,70,4.845518999999651,6.433744
res_360.har,70,4.803781000000046,6.461081
res_136.har,68,5.102856999999902,6.397859
res_358.har,70,4.779454000000198,6.450979
res_283.har,70,4.3656830000000335,6.414831
res_346.har,70,5.017915999999983,6.477245
res_254.har,67,4.531085999999923,6.409787
res_101.har,69,4.959704000000086,6.432367
res_497.har,65,5.469226000000133,6.398923
res_67.har,70,5.019518000000011,6.447294
res_345.har,70,4.95989099999996,6.427683
res_2.har,70,4.7486679999999835,6.408652
res_344.har,69,5.304707999999773,6.472077
res_398.har,70,4.756166999999921,6.406527
res_26.har,68,4.545823000000011,6.397187
res_306.har,69,4.721754999999914,6.451867
res_134.har,69,5.544139999999963,6.452453
res_445.har,67,1.6909210000001913,6.403722
res_291.har,68,5.303470999999879,6.421025
res_8.har,70,4.139309000000004,6.425334
res_52.har,70,5.657016000000025,6.454107
res_308.har,67,4.515382999999913,6.412452
res_84.har,70,4.7185980000000125,6.478002
res_438.har,70,4.591489000000067,6.476595
res_405.har,70,4.86661599999998,6.408758
res_332.har,69,4.8207959999999295,6.452229
res_470.har,69,4.993651000000376,6.448714
res_382.har,72,5.910643000000273,6.440511
res_169.har,70,5.3620590000001105,6.43972
res_21.har,69,4.867782000000032,6.419971
res_43.har,67,5.135929999999993,6.376616
res_354.har,69,5.113897000000033,6.469143
res_81.har,70,5.342475999999988,6.477977
res_118.har,70,5.143846999999841,6.431493
res_413.har,69,4.614266999999934,6.41527
res_494.har,70,5.3616880000001,6.43201
res_105.har,70,5.308082999999915,6.457018
res_126.har,69,5.012358000000066,6.43536
