Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,78,4.351959000000032,6.328517
res_393.har,77,4.291614000000416,6.313174
res_236.har,77,4.532499000000083,6.297002
res_154.har,77,4.032225000000024,6.326696
res_479.har,78,4.3212660000002066,6.343742
res_109.har,76,4.842191999999806,6.289485
res_484.har,77,4.394885999999875,6.28196
res_20.har,73,4.422066000000268,6.596561
res_155.har,77,4.5876339999997615,6.307844
res_24.har,77,4.788077999999798,6.320907
res_368.har,78,4.2271030000000245,6.320846
res_256.har,78,4.584668999999951,6.306398
res_167.har,74,5.1588759999999745,6.263574
res_327.har,78,4.327310999999809,6.300543
res_400.har,78,4.286224999999875,6.296317
res_110.har,78,5.179659,6.312388
res_373.har,98,4.1327169999996185,6.574287
res_123.har,76,5.00222300000006,6.311
res_351.har,78,4.10287600000087,6.336663
res_275.har,77,4.909944999999134,6.315823
res_489.har,78,4.628276000000158,6.323184
res_469.har,78,4.470740999999733,6.348245
res_367.har,78,4.279339999999938,6.327935
res_108.har,78,5.331684000000194,6.340956
res_441.har,78,3.979835000000421,6.314405
res_360.har,78,3.981372000000403,6.296031
res_136.har,77,5.012242000000071,6.300387
res_358.har,78,1.5927659999994284,6.325029
res_283.har,78,5.348081999999725,6.329678
res_346.har,78,4.275572000000429,6.329264
res_254.har,83,4.697658999999661,6.487261
res_101.har,79,5.055085000000312,6.254139
res_497.har,81,4.509873999999814,6.468246
res_67.har,75,4.856455999999652,6.292047
res_345.har,68,2.4390419999998483,6.500907
res_2.har,74,4.860644999999673,6.240894
res_344.har,78,3.96571399999968,6.29822
res_398.har,78,4.676887000000636,6.300607
res_26.har,78,4.90903999999968,6.306733
res_306.har,103,4.8047310000007055,6.667141
res_134.har,78,4.950363999999739,6.305957
res_445.har,78,4.348051999999814,6.334171
res_291.har,103,4.69821299999936,6.634666
res_8.har,82,4.606890999999799,6.395472
res_52.har,78,4.891826000000357,6.30225
res_308.har,100,5.073640000000291,6.60344
res_84.har,78,5.782987999999998,6.316398
res_438.har,94,4.387740000000536,6.87892
res_405.har,78,4.0102810000004245,6.344743
res_332.har,74,4.129671999999293,6.58481
res_470.har,78,4.266223999999943,6.32161
res_382.har,77,4.206208000000297,6.311078
res_169.har,94,4.8353290000003035,6.558204
res_21.har,78,4.981654999999584,6.307435
res_43.har,78,5.180883999999998,6.318135
res_354.har,78,4.45844700000048,6.345501
res_81.har,78,4.969053000000043,6.325353
res_118.har,78,1.446582000000053,6.289298
res_413.har,78,3.7647609999998384,6.32379
res_494.har,75,5.009637999999992,6.271443
res_105.har,71,4.935386000000231,6.220756
res_126.har,66,4.718756999999997,6.755915
res_319.har,78,4.462925999999316,6.298188
res_459.har,78,4.268327000000157,6.315357
res_455.har,78,4.559722999999743,6.334167
res_6.har,76,4.630077000000027,6.302196
res_362.har,78,4.686257999999732,6.31405
res_204.har,97,4.941698000000105,6.702706
res_376.har,78,4.122459999999781,6.312739
res_39.har,69,4.574310000000092,6.536453
res_318.har,78,4.099190000000083,6.30898
res_13.har,72,4.510453000000067,6.248448
res_255.har,96,4.931145999999815,6.559196
res_404.har,96,3.8043640000002195,6.555581
res_64.har,77,4.580030999999963,6.313294
res_113.har,77,4.704208000000094,6.321291
res_356.har,74,4.211002999999946,6.596125
res_390.har,78,4.302038000000677,6.323627
res_493.har,78,4.113967000000565,6.323484
res_353.har,75,4.28442300000049,6.616218
res_314.har,78,4.179961999999731,6.296298
res_359.har,96,4.091368999999366,6.563734
res_418.har,79,4.243011000000566,6.38352
res_437.har,102,4.209302000000549,6.631458
res_196.har,74,5.243528999999857,6.272606
res_286.har,76,4.8569930000000605,6.286656
res_208.har,75,1.3623899999999702,6.346569
res_389.har,74,4.199649999999681,6.268334
res_44.har,78,4.255125000000251,6.311911
res_76.har,82,4.771986000000084,6.42441
res_37.har,77,4.608402999999686,6.303169
res_310.har,76,4.085967000000179,6.285638
res_153.har,75,4.887128000000091,6.275487
res_320.har,78,4.227145999999877,6.326782
res_207.har,96,5.112189000000282,6.587492
res_210.har,83,5.508516000000127,6.478145
res_298.har,101,4.571217999999615,6.58459
res_293.har,78,5.0000059999997175,6.313135
res_485.har,78,4.424867999999434,6.287251
res_174.har,78,2.8812130000001415,6.32626
res_102.har,77,4.839706999999995,6.312657
res_212.har,82,5.171964000000076,6.405802
