Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,70,4.137861999999194,6.418703
res_393.har,70,4.6380350000006,6.45737
res_236.har,70,5.803272000000019,6.449209
res_154.har,70,4.719847999999875,6.447129
res_479.har,70,4.513895000000586,6.475156
res_109.har,70,4.574916000000514,6.444935
res_484.har,68,4.129677000000884,6.385821
res_20.har,70,4.751803999999887,6.459368
res_155.har,70,5.130794000000591,6.439596
res_24.har,69,5.077377999999702,6.429464
res_368.har,68,4.428881999999794,6.417375
res_256.har,69,4.411879999999183,6.425735
res_167.har,70,6.071320000000306,6.470816
res_327.har,69,4.888986999999077,6.445482
res_400.har,69,4.831905999998693,6.433869
res_110.har,67,4.7193300000000304,6.405844
res_373.har,70,4.824320999999982,6.434402
res_123.har,69,4.999654999999839,6.457035
res_351.har,69,4.922667999999875,6.432353
res_275.har,70,4.500057000000074,6.429141
res_489.har,70,4.834013000000167,6.456533
res_469.har,70,5.168648000001806,6.450652
res_367.har,72,5.028086999999141,6.460167
res_108.har,69,4.9337970000000055,6.443927
res_441.har,66,5.278977000001236,6.3885
res_360.har,70,5.133913000000874,6.447456
res_136.har,69,4.87064999999947,6.443258
res_358.har,70,5.640539000001198,6.444778
res_283.har,69,6.128681000000608,6.418823
res_346.har,68,4.658864000000103,6.389682
res_254.har,71,1.6028199999998614,6.453418
res_101.har,70,4.659790000000518,6.450489
res_497.har,70,4.680492000000522,6.443918
res_67.har,70,4.939408999999934,6.465774
res_345.har,69,4.68629299999986,6.393966
res_2.har,69,4.799913000000109,6.436831
res_344.har,70,5.304686999999088,6.427952
res_398.har,70,5.066774000000514,6.433745
res_26.har,70,5.160271999999968,6.445739
res_306.har,66,4.3239690000001065,6.390603
res_134.har,69,1.9834249999995373,6.441254
res_445.har,68,2.0568930000004473,6.433542
res_291.har,66,4.396531999999577,6.382196
res_8.har,70,5.086994000000304,6.448437
res_52.har,70,5.060422000000574,6.434884
res_308.har,70,4.762323000000477,6.447396
res_84.har,70,4.242294000000482,6.43446
res_438.har,69,4.575688000000082,6.415714
res_405.har,66,4.4714170000000015,6.387921
res_332.har,70,4.965251000001648,6.451231
res_470.har,69,5.177837999999829,6.446752
res_382.har,70,1.836713999998712,6.429862
res_169.har,69,4.887250000000066,6.431659
res_21.har,70,5.164596999999303,6.444976
res_43.har,66,7.990609000000579,6.39406
res_354.har,69,5.572157999999108,6.428206
res_81.har,70,4.720725999999973,6.474304
res_118.har,70,5.9104590000001265,6.440365
res_413.har,69,2.3872709999990476,6.412081
res_494.har,70,4.779671000001167,6.446466
res_105.har,70,4.953253999999957,6.466019
res_126.har,69,5.488703000000278,6.462216
res_319.har,65,4.697050999999395,6.368597
res_459.har,70,4.274357999999483,6.466835
res_455.har,69,4.701677000001335,6.440204
res_6.har,67,4.6187320000002074,6.42208
res_362.har,69,5.841018000000462,6.451157
res_204.har,70,5.410336999999803,6.45072
res_376.har,70,4.66229300000066,6.414292
res_39.har,70,5.536814999999541,6.443909
res_318.har,70,2.5584530000010126,6.47876
res_13.har,70,5.568865000000682,6.435538
res_255.har,70,4.447687000000129,6.451847
res_404.har,69,6.056278999999864,6.440956
res_64.har,69,4.8551089999996115,6.437522
res_113.har,70,5.059194999999985,6.460331
res_356.har,70,4.835920000001657,6.439817
res_390.har,66,4.591296000000162,6.3947
res_493.har,70,1.5915939999991242,6.446114
res_353.har,69,5.278154000000374,6.431055
res_314.har,69,4.88329299999994,6.411638
res_359.har,70,4.4622639999989335,6.444129
res_418.har,70,5.467386000000639,6.470219
res_437.har,70,5.092918999999907,6.445011
res_196.har,69,5.572622999999999,6.444999
res_286.har,69,1.9087529999992985,6.423246
res_208.har,69,4.9852579999995505,6.416812
res_389.har,70,4.982535000000164,6.451437
res_44.har,66,5.167496000000501,6.414893
res_76.har,67,4.563370999999635,6.404091
res_37.har,67,5.337816000000217,6.400629
res_310.har,66,4.6949570000007075,6.37806
res_153.har,70,5.728614999999904,6.438563
res_320.har,65,5.065290999999881,6.372029
res_207.har,71,2.0282129999998944,6.451319
res_210.har,70,4.928367000000159,6.46991
res_298.har,70,5.016160999999549,6.456254
res_293.har,70,4.78504299999919,6.465247
res_485.har,70,5.482031000000555,6.445749
res_174.har,69,5.046424999999966,6.4377
res_102.har,69,4.660528000000093,6.424491
res_212.har,72,4.569692000000119,6.41932
res_40.har,69,5.743668999999725,6.441353
res_7.har,70,4.8924359999999,6.443658
res_399.har,70,4.797851999999999,6.442273
res_195.har,69,5.175522000000332,6.451107
res_341.har,70,4.560467999998582,6.462951
res_324.har,70,4.390834000001051,6.443947
res_253.har,69,4.608330000000613,6.430572
res_120.har,70,5.471943999999981,6.442643
res_464.har,70,5.066164999999659,6.432826
res_202.har,70,4.735631000000394,6.437709
res_468.har,69,5.257912000001102,6.409128
res_370.har,70,5.01841900000097,6.461999
res_165.har,70,4.586657999999901,6.421578
res_205.har,70,5.011661000000276,6.486152
res_122.har,69,5.320843000000059,6.420667
res_361.har,71,4.666487999999532,6.440102
res_80.har,69,5.0283159999996645,6.427071
res_424.har,70,4.312920000000595,6.449634
res_458.har,68,4.089530000000581,6.362332
res_349.har,70,4.371997000000673,6.408724
res_461.har,68,1.6944490000001242,6.435367
res_334.har,66,1.9867470000000176,6.364234
res_159.har,69,5.774677999999512,6.435493
res_329.har,66,5.274218000000619,6.396203
res_28.har,70,4.60425999999958,6.414241
res_60.har,70,1.7635839999996532,6.424576
res_162.har,70,4.752714000000051,6.444792
res_172.har,68,5.254963000000717,6.415293
res_226.har,69,4.783131000000176,6.421665
res_65.har,70,4.420664000000688,6.437022
res_83.har,70,4.72119599999937,6.430239
res_170.har,70,4.4925580000004555,6.442839
res_97.har,70,4.785122999999585,6.455937
res_14.har,71,4.817321000000033,6.436892
res_106.har,70,4.438149999999529,6.447722
res_492.har,67,4.83409999999906,6.428077
res_41.har,70,5.077830999999605,6.438892
res_231.har,70,5.273984000000153,6.443207
res_279.har,70,5.153331999999784,6.434968
res_42.har,69,5.063625000000401,6.438083
res_401.har,70,5.091291999999449,6.445539
res_61.har,70,5.467763999999995,6.467668
res_143.har,68,4.779610999999939,6.403096
res_145.har,70,5.471418000000405,6.404909
res_385.har,70,5.452249000000113,6.430742
res_483.har,70,4.423874000000083,6.466157
res_175.har,70,5.710334000000054,6.468313
res_112.har,70,5.298048000000054,6.418181
res_69.har,70,4.757424999999762,6.401706
res_188.har,70,6.2161209999998395,6.443385
res_56.har,68,5.1582660000005705,6.424719
res_27.har,70,5.151447999999698,6.449841
res_86.har,70,5.0457410000005405,6.433487
res_191.har,66,5.0411710000002055,6.359055
res_22.har,69,5.053100000000646,6.433962
res_442.har,70,4.463656999999031,6.457082
res_247.har,70,5.198368999999999,6.438024
res_232.har,70,4.777798000000287,6.443434
res_246.har,69,4.733740000000165,6.45277
res_200.har,69,4.971142999999774,6.421452
res_431.har,70,4.315502000000401,6.427291
res_496.har,70,4.841960000000225,6.450731
res_179.har,70,5.499183999999557,6.451781
res_440.har,69,4.255524000001329,6.413855
res_185.har,70,4.705525000000438,6.448377
res_371.har,66,4.7596400000015855,6.40629
res_235.har,70,4.5113889999998795,6.426411
res_388.har,68,5.0156639999993935,6.421453
res_215.har,69,4.646666000000049,6.441789
res_217.har,69,4.8716060000003925,6.450036
res_186.har,70,5.107859999999993,6.458429
res_132.har,69,4.784733999999589,6.469129
res_340.har,69,5.2900340000007855,6.434436
res_350.har,70,2.25009299999995,6.420652
res_321.har,69,4.378638000000167,6.429386
res_447.har,69,5.088006000001202,6.456773
res_338.har,70,4.486671999998652,6.458467
res_301.har,70,5.046782000000465,6.472194
res_294.har,69,4.562556000000557,6.469631
res_392.har,67,5.09899500000097,6.395054
res_184.har,70,4.583411999999764,6.416664
res_380.har,69,4.747205000000016,6.442182
res_395.har,70,4.607621999998577,6.442403
res_491.har,69,4.749955000001297,6.449805
res_316.har,70,5.488501999998916,6.437596
res_397.har,70,4.667125000000379,6.427655
res_263.har,70,5.231357999999672,6.456649
res_311.har,66,4.308304999999477,6.366076
res_262.har,69,4.950025000000489,6.432748
res_363.har,70,4.893199000000139,6.456859
res_168.har,70,5.488579999999892,6.429207
res_194.har,70,4.923609000000397,6.41084
res_198.har,69,6.158527000000315,6.419784
res_127.har,70,4.793832999999467,6.450915
res_142.har,69,4.636700000000128,6.41736
res_146.har,69,4.830642000000538,6.411169
res_296.har,70,4.69377900000046,6.401767
res_426.har,69,4.7496100000017325,6.433627
res_477.har,70,2.217756999999532,6.461175
res_29.har,70,5.717133999999569,6.412741
res_103.har,70,4.793713000000287,6.456225
res_348.har,70,5.26375500000146,6.448392
res_451.har,70,5.580814000000319,6.425682
res_465.har,70,4.311816000000326,6.403595
res_375.har,70,5.101935000000464,6.462717
res_452.har,69,4.481929999999877,6.434833
res_233.har,70,4.797957999999504,6.458825
res_432.har,70,5.3125420000001755,6.413368
res_156.har,69,5.067904999999985,6.448222
res_417.har,70,4.700456999999165,6.426072
res_173.har,70,4.980314000000631,6.456493
res_258.har,70,4.757928000000138,6.440013
res_433.har,69,5.743494999999748,6.426056
res_199.har,70,5.149845000000154,6.408583
res_90.har,70,4.9210569999999425,6.451713
res_317.har,69,5.4438180000001015,6.454908
res_277.har,69,5.190916000000281,6.42949
res_249.har,70,4.794232999999207,6.44141
res_391.har,70,4.958905000000304,6.456586
res_252.har,68,4.496271999999837,6.427769
res_282.har,71,4.392027000000031,6.400243
res_180.har,70,5.084779000000737,6.465609
res_312.har,66,5.07561100000047,6.399949
res_292.har,70,5.071792999999765,6.460173
res_419.har,70,4.848814999999857,6.433553
res_149.har,69,1.8418980000001757,6.440921
res_466.har,69,4.4190210000009245,6.428731
res_495.har,69,4.681767999999996,6.41517
res_241.har,70,5.45904599999982,6.453384
res_91.har,69,5.401484000000281,6.431311
res_48.har,70,4.680321000000025,6.425403
res_474.har,67,4.900871000000057,6.412775
res_315.har,68,4.929411999999866,6.427118
res_402.har,70,5.16308200000055,6.410928
res_176.har,70,4.603352999999952,6.404632
res_295.har,70,4.645265999999676,6.442547
res_457.har,70,4.468474999999453,6.440689
res_289.har,69,5.291179000000164,6.437179
res_337.har,68,4.786980000000113,6.44572
res_482.har,70,4.577379999999714,6.435147
res_158.har,68,4.82683699999952,6.430559
res_1.har,70,4.747532999999923,6.45069
res_203.har,70,5.412771000000255,6.438875
res_476.har,67,4.541910000000644,6.34016
res_364.har,70,4.300596000000078,6.432851
res_164.har,70,5.057013000000814,6.429339
res_412.har,70,4.8610349999999745,6.46026
res_407.har,69,4.325765000000698,6.434223
res_473.har,69,4.874345999999539,6.396506
res_214.har,70,4.920558999999877,6.415071
res_216.har,70,5.241027999999606,6.454432
res_336.har,70,5.207478999999555,6.436836
res_498.har,69,5.507645999998742,6.416982
res_326.har,70,5.017665999998862,6.453193
res_487.har,69,4.645265999999581,6.420754
res_416.har,69,5.256838000000498,6.395158
res_111.har,68,4.328450000000331,6.422688
res_38.har,69,4.853888999999493,6.407087
res_257.har,69,4.762575999999411,6.450159
res_157.har,69,4.5737539999994405,6.44919
res_5.har,70,4.975389000000403,6.436916
res_150.har,70,5.752905999999689,6.423743
res_77.har,70,4.212789000000506,6.422424
res_325.har,70,6.103328999999023,6.445903
res_409.har,68,4.55827899999886,6.42386
res_68.har,70,4.677767999999356,6.459953
res_467.har,69,4.55644799999964,6.442616
res_222.har,67,1.951137999999948,6.427874
res_406.har,70,4.538436999999554,6.438992
res_339.har,70,5.385908999998879,6.451506
res_328.har,70,4.43307200000083,6.461724
res_36.har,70,4.569478999999628,6.434804
res_410.har,69,5.355960999999778,6.447103
res_100.har,67,4.328155000000035,6.439047
res_280.har,69,4.8718930000002,6.423076
res_183.har,68,4.952509999999922,6.429555
res_475.har,69,5.41357399999995,6.4193
res_450.har,70,4.1769799999997925,6.434209
res_182.har,70,5.149895999999302,6.408075
res_0.har,72,2.3854629999995742,6.409454
res_187.har,68,5.601833999999347,6.41231
res_32.har,70,5.721737000000619,6.445032
res_163.har,70,1.5256130000002959,6.440975
res_141.har,70,4.680153999999886,6.460356
res_82.har,69,5.576894999999516,6.418587
res_347.har,67,4.655106999999087,6.38654
res_87.har,69,4.844134999999303,6.43292
res_383.har,66,5.450865999999616,6.397255
res_223.har,69,4.296543999999943,6.419667
res_240.har,70,4.4384149999997025,6.438412
res_95.har,70,5.017009000000588,6.444642
res_189.har,68,5.440431000000012,6.408205
res_378.har,70,4.584980000001102,6.417084
res_140.har,69,5.560471000000434,6.447926
res_245.har,70,6.313316000000239,6.468055
res_224.har,66,4.732379000000117,6.381757
res_322.har,70,4.520635000000301,6.464338
res_15.har,66,5.307725000000049,6.384901
res_456.har,70,5.421275999999096,6.426441
res_129.har,70,5.1011700000001,6.458801
res_396.har,70,4.795745999999883,6.44355
res_206.har,69,4.288542000000387,6.445234
res_307.har,70,4.691911999999933,6.44487
res_94.har,69,6.369108000000211,6.425327
res_423.har,69,4.636387999999599,6.423781
res_78.har,70,4.803076999999648,6.43562
res_352.har,70,5.389511000001658,6.452835
res_229.har,70,4.500788999999793,6.470281
res_313.har,70,4.6721850000003835,6.471871
res_411.har,70,4.782132000000376,6.449682
res_220.har,69,5.170587000000022,6.437841
res_297.har,69,4.559745000000345,6.444789
res_333.har,66,4.69804400000046,6.391224
res_107.har,69,5.043398000000387,6.449423
res_221.har,71,4.669137000000272,6.411228
res_374.har,69,5.16068999999961,6.446485
res_151.har,66,5.20880900000049,6.388099
res_66.har,70,6.033264000000374,6.451284
res_16.har,70,5.027678999999989,6.481005
res_472.har,69,4.550575000000026,6.455435
res_228.har,70,5.048053999999291,6.431207
res_197.har,70,5.159728999999876,6.431656
res_303.har,70,4.429969000000776,6.464328
res_12.har,70,4.609999000000665,6.427542
res_59.har,70,5.0758590000004915,6.459263
res_239.har,69,5.356448000000135,6.453799
res_238.har,70,1.7450910000002768,6.419234
res_330.har,70,5.520967000000252,6.433525
res_34.har,70,4.886085999999429,6.457278
res_248.har,69,4.942681999999971,6.413069
res_209.har,70,4.802019999999779,6.418958
res_276.har,66,5.195335999999864,6.358298
res_434.har,67,5.001057999998375,6.400146
res_323.har,69,4.31194800000079,6.431292
res_251.har,69,5.489051000000145,6.444168
res_79.har,70,5.6737729999999065,6.438954
res_486.har,69,4.969471000000078,6.436818
res_30.har,70,5.43834200000071,6.429685
res_439.har,70,4.4580460000001185,6.403776
res_304.har,70,5.0652549999996115,6.426399
res_273.har,70,4.9924970000002356,6.424819
res_449.har,69,4.438938999999882,6.408179
res_130.har,70,5.984538000000008,6.437836
res_11.har,68,4.3387529999992545,6.386553
res_408.har,69,4.276994999999253,6.463816
res_211.har,70,5.03249999999992,6.436574
res_270.har,70,1.8408280000004233,6.442629
res_420.har,70,4.997320000000327,6.459225
res_480.har,69,5.016793999999936,6.425236
res_152.har,70,5.930229000000465,6.460911
res_443.har,70,5.580977000000508,6.447149
res_119.har,69,4.357135999999548,6.460825
res_305.har,70,5.040677000000593,6.463166
res_74.har,67,5.040277999999496,6.415386
res_422.har,70,4.585616999999125,6.427912
res_70.har,69,4.574554000000069,6.462901
res_259.har,70,5.016578000000307,6.448069
res_355.har,70,4.749149999999805,6.444771
res_414.har,70,5.353652999999569,6.458474
res_181.har,69,5.26258700000008,6.42461
res_281.har,69,4.698748000000334,6.416167
res_429.har,70,2.0468750000014113,6.466809
res_372.har,70,5.323886000000246,6.447049
res_343.har,70,5.449078000000027,6.42571
res_272.har,70,4.740890999999734,6.447174
