Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,77,3.6786300000010232,6.276142
res_393.har,78,3.6270270000006275,6.308017
res_236.har,78,4.059941999998584,6.323417
res_154.har,78,4.066538999999786,6.291419
res_479.har,78,3.78420000000023,6.320493
res_109.har,77,4.235857000000309,6.308601
res_484.har,75,3.992147000000172,6.271078
res_20.har,79,2.6190720000005823,6.342589
res_155.har,78,4.027883999999903,6.32682
res_24.har,80,4.1318049999996,6.380782
res_368.har,78,3.655811000000205,6.32527
res_256.har,78,3.5071930000005813,6.325762
res_167.har,78,4.275210999999472,6.295932
res_327.har,78,2.1420160000005124,6.28574
res_400.har,78,3.5390469999989,6.32898
res_110.har,74,4.544243999999788,6.289844
res_373.har,78,3.793063999999431,6.31428
res_123.har,74,4.199695000000589,6.276509
res_351.har,78,3.5368890000007234,6.326917
res_275.har,78,4.005286999999604,6.30114
res_489.har,101,4.184891999999803,6.602922
res_469.har,78,3.6435209999985965,6.283178
res_367.har,78,3.784910000000571,6.323992
res_108.har,78,4.090459000000076,6.311352
res_441.har,77,3.5514889999997976,6.294641
res_360.har,75,3.5147599999986414,6.300069
res_136.har,77,4.137442000000083,6.289661
res_358.har,73,3.6946949999994687,6.257199
res_283.har,77,3.778874999999971,6.302365
res_346.har,76,3.714409000000276,6.297073
res_254.har,78,3.9407409999997034,6.335482
res_101.har,78,4.358927000000971,6.311758
res_497.har,78,3.6465089999990887,6.314437
res_67.har,77,4.161804000000542,6.295604
res_345.har,103,3.5472409999989467,6.646112
res_2.har,99,3.7154689999991097,6.690961
res_344.har,78,3.5569580000010754,6.33627
res_398.har,96,3.886829000000842,6.572321
res_26.har,78,4.132586000001087,6.302512
res_306.har,77,3.722402000001006,6.304039
res_134.har,78,4.223462999999901,6.300347
res_445.har,77,1.3625879999992467,6.323181
res_291.har,78,4.260268000001626,6.305877
res_8.har,98,4.129009000000093,6.66503
res_52.har,77,4.067941000000443,6.309554
res_308.har,78,3.75037999999951,6.31655
res_84.har,99,4.252859999998967,6.702912
res_438.har,78,3.794553000000291,6.32211
res_405.har,77,3.565593999999415,6.318006
res_332.har,78,4.179718000001172,6.337417
res_470.har,78,3.769110999999713,6.342104
res_382.har,78,3.6509220000008935,6.325974
res_169.har,100,4.10515099999994,6.687716
res_21.har,78,4.138976000000257,6.34957
res_43.har,77,4.320540999998804,6.297913
res_354.har,77,3.6068249999983237,6.294456
res_81.har,78,4.40934400000103,6.298918
res_118.har,78,4.569208000000148,6.287599
res_413.har,82,4.042582000001639,9.288488
res_494.har,104,3.527712000001004,6.722693
res_105.har,78,4.412129999999743,6.321549
res_126.har,78,4.184572999999946,6.345064
res_319.har,78,3.670697999999873,6.309841
res_459.har,78,3.6306699999998964,6.303819
res_455.har,78,3.7649700000014272,6.32107
res_6.har,78,4.01971699999951,6.293432
res_362.har,78,3.659828000000518,6.322474
res_204.har,78,4.052707999999649,6.324067
res_376.har,78,3.6102339999995894,6.287809
res_39.har,78,4.218156000000512,6.294929
res_318.har,78,4.423584000000178,6.328897
res_13.har,78,4.221333999998867,6.310996
res_255.har,78,3.8827229999997073,6.318951
res_404.har,78,3.0064979999999486,6.307324
res_64.har,78,4.509885999998587,6.280058
res_113.har,77,4.490083999998984,6.32397
res_356.har,77,3.8686349999995584,6.279424
res_390.har,78,3.752379999999219,6.312924
res_493.har,76,3.7516559999986785,6.291057
res_353.har,101,3.441877999999386,6.682871
res_314.har,78,1.4695309999990422,6.299442
res_359.har,75,3.8727069999990347,6.311111
res_418.har,78,3.7773380000006727,6.333783
res_437.har,104,3.750333000000435,6.716792
res_196.har,78,4.001993999999235,6.30602
res_286.har,78,3.9911810000007826,6.318429
res_208.har,74,4.195356000001018,6.266796
res_389.har,78,3.9437059999989725,6.311644
res_44.har,78,4.341673999999505,6.327413
res_76.har,94,4.002012999999846,6.592041
res_37.har,78,4.030991000000111,6.324061
res_310.har,78,3.7540410000005067,6.304165
res_153.har,77,4.29137999999951,6.320724
res_320.har,78,3.9203469999990195,6.329982
res_207.har,78,4.0740839999991,6.31805
res_210.har,103,4.099926000000225,6.775098
res_298.har,78,3.891556000000084,6.325851
res_293.har,78,3.934812000000049,6.307139
res_485.har,78,3.7496050000004324,6.313688
res_174.har,78,3.954729999998919,6.317416
