Filename,Requests,Total Iime (Sec),Total Weight (MB)
0_youtube.har,66,10.306,1.257303
10_youtube.har,61,3.629,1.240041
11_youtube.har,60,2.537,1.232053
12_youtube.har,61,2.134,1.221671
13_youtube.har,61,2.807,1.229606
14_youtube.har,60,2.457,1.248887
15_youtube.har,60,2.112,1.234969
16_youtube.har,60,2.261,1.244702
17_youtube.har,61,2.769,1.240079
18_youtube.har,51,2.082,1.220903
19_youtube.har,45,1.827,1.221056
1_youtube.har,45,1.643,1.243527
20_youtube.har,60,2.441,1.242276
21_youtube.har,54,2.443,1.241282
22_youtube.har,60,2.857,1.259814
23_youtube.har,49,2.107,1.254648
24_youtube.har,52,2.407,1.214604
25_youtube.har,58,2.506,1.216564
26_youtube.har,60,2.818,1.228165
27_youtube.har,51,2.136,1.209426
28_youtube.har,59,2.471,1.240527
29_youtube.har,52,2.119,1.234486
2_youtube.har,60,2.304,1.249881
30_youtube.har,59,2.713,1.226438
31_youtube.har,65,2.468,1.290431
32_youtube.har,60,2.722,1.233245
33_youtube.har,59,2.841,1.236502
34_youtube.har,59,2.583,1.223137
35_youtube.har,52,3.065,1.21591
36_youtube.har,59,2.57,1.239559
37_youtube.har,51,2.256,1.21848
38_youtube.har,51,2.187,1.203353
39_youtube.har,52,1.966,1.188495
3_youtube.har,52,1.912,1.222869
40_youtube.har,60,2.682,1.241826
41_youtube.har,60,2.712,1.226792
42_youtube.har,61,2.282,1.230675
43_youtube.har,69,2.641,1.319737
44_youtube.har,52,2.077999999999998,1.222592
45_youtube.har,59,2.285,1.241555
46_youtube.har,51,3.135,1.22542
47_youtube.har,52,2.48,1.218502
48_youtube.har,61,2.589,1.259895
49_youtube.har,50,2.503,1.193302
4_youtube.har,67,2.306,1.274201
50_youtube.har,59,2.385,1.24069
51_youtube.har,59,2.416,1.247928
52_youtube.har,61,2.468,1.235089
53_youtube.har,51,1.987,1.185583
54_youtube.har,61,3.128,1.251311
55_youtube.har,54,2.054,1.231481
56_youtube.har,51,2.3,1.232941
57_youtube.har,61,2.907,1.236716
58_youtube.har,61,2.887,1.243526
59_youtube.har,60,2.569,1.234458
5_youtube.har,59,2.288,1.237868
60_youtube.har,59,2.255,1.228651
61_youtube.har,60,2.337,1.248089
62_youtube.har,61,2.496,1.27723
63_youtube.har,49,2.12,1.205039
64_youtube.har,51,2.566,1.222779
65_youtube.har,51,2.443,1.22125
66_youtube.har,51,3.435,1.218789
67_youtube.har,60,3.572,1.228888
68_youtube.har,59,0.797,1.234156
69_youtube.har,51,2.022,1.237713
6_youtube.har,60,2.202,1.234975
70_youtube.har,58,3.458,1.238048
71_youtube.har,67,2.18,1.300884
72_youtube.har,52,2.179,1.22555
73_youtube.har,51,2.32,1.222598
74_youtube.har,59,2.708,1.230928
75_youtube.har,54,2.821,1.221115
76_youtube.har,60,2.485,1.235402
77_youtube.har,60,2.304,1.236202
78_youtube.har,60,2.237,1.237387
79_youtube.har,52,2.229,1.246132
7_youtube.har,59,2.338,1.233125
80_youtube.har,61,2.856,1.233917
81_youtube.har,61,3.538,1.233394
82_youtube.har,65,1.659,1.293314
83_youtube.har,59,2.469,1.230732
84_youtube.har,61,2.165,1.373051
85_youtube.har,71,3.165,1.483114
86_youtube.har,60,2.053,1.375462
87_youtube.har,63,2.368,1.434737
88_youtube.har,53,1.751,1.204798
89_youtube.har,50,1.793,1.167137
8_youtube.har,58,2.426,1.230036
90_youtube.har,60,2.008,1.37795
91_youtube.har,56,2.274,1.441474
92_youtube.har,64,2.205,1.407257
93_youtube.har,60,2.246,1.438229
94_youtube.har,61,2.925,1.371736
95_youtube.har,63,2.186,1.397683
96_youtube.har,61,2.588,1.384892
97_youtube.har,62,2.249,1.379609
98_youtube.har,63,2.081,1.417864
99_youtube.har,61,2.108,1.383642
9_youtube.har,60,2.486,1.229096
Average:,=AVERAGE(B2:B101),=AVERAGE(C2:C101),=AVERAGE(D2:D101)
