Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,70,4.214423000000239,6.266914
res_393.har,72,4.56802200000027,6.295931
res_236.har,70,4.353880999999859,6.263217
res_154.har,69,4.266197999999822,6.230519
res_479.har,77,4.453802999999774,6.593821
res_109.har,71,4.583212999999916,6.259708
res_484.har,72,4.404109999999957,6.292692
res_20.har,68,4.994640000000036,6.585016
res_155.har,70,4.3445430000002165,6.240722
res_24.har,78,5.117185999999994,6.629901
res_368.har,70,4.518826999999634,6.281338
res_256.har,71,4.619334000000003,6.264667
res_167.har,78,4.449246,6.609574
res_327.har,72,4.641625000000218,6.34378
res_400.har,77,4.072407000000218,6.597495
res_110.har,70,1.7556579999999158,6.263262
res_373.har,71,4.5503389999997195,6.292522
res_123.har,70,4.02235600000015,6.269313
res_351.har,71,4.315343000000095,6.276167
res_275.har,70,5.108884999999965,6.2804
res_489.har,71,1.7639939999998606,6.267294
res_469.har,69,4.454221999999616,6.237473
res_367.har,71,4.225393000000251,6.26907
res_108.har,71,4.760014999999912,6.293947
res_441.har,70,3.542480999999745,6.244855
res_360.har,70,4.366076999999797,6.267042
res_136.har,71,4.783486000000105,6.265792
res_358.har,67,4.422734999999851,6.584433
res_283.har,78,4.489053000000181,6.618876
res_346.har,71,4.544821000000007,6.279571
res_254.har,70,4.913537999999956,6.24534
res_101.har,73,4.500476000000093,6.918543
res_497.har,70,4.447175000000149,6.25146
res_67.har,71,4.208022000000044,6.253586
res_345.har,78,4.3757789999998025,6.647838
res_2.har,71,4.520847999999998,6.729901
res_344.har,70,4.335745000000253,6.296529
res_398.har,70,4.235776999999893,6.252341
res_26.har,78,4.9751949999999745,6.619229
res_306.har,71,4.550067000000163,6.269033
res_134.har,78,4.638945999999987,6.629778
res_445.har,70,4.507474000000212,6.281025
res_291.har,71,4.307235999999997,6.293395
res_8.har,70,5.136387999999996,6.26735
res_52.har,71,4.6188569999999745,6.302435
res_308.har,71,4.273788000000141,6.264053
res_84.har,71,4.724143000000011,6.287745
res_438.har,68,4.549792999999947,6.263406
res_405.har,71,4.45091399999964,6.274541
res_332.har,71,4.233839999999826,6.274264
res_470.har,78,4.792467000000142,6.630617
res_382.har,71,4.39016400000011,6.251421
res_169.har,71,4.188595999999881,6.271861
res_21.har,69,4.787717000000018,6.223489
res_43.har,70,4.350892000000073,6.275166
res_354.har,70,4.508827000000048,6.295418
res_81.har,69,4.397786,6.273319
res_118.har,71,4.534082999999992,6.267237
res_413.har,78,4.156949000000154,6.607409
res_494.har,76,4.510259000000318,6.463024
res_105.har,71,4.861810000000008,6.277854
res_126.har,78,4.401499999999883,6.62416
res_319.har,70,4.574660000000138,6.290941
res_459.har,70,4.632866000000009,6.286357
res_455.har,70,4.336714000000244,6.269774
res_6.har,70,5.39202299999999,6.268794
res_362.har,73,4.489065000000279,6.278965
res_204.har,70,4.44604799999993,6.255628
