Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,67,4.193965000000055,6.561877
res_393.har,71,4.226360999999495,6.282041
res_236.har,70,4.139261000000625,6.259877
res_154.har,71,4.447847999999911,6.266333
res_479.har,71,4.127127000000983,6.255119
res_109.har,71,3.8270199999997856,6.257136
res_484.har,71,4.06445600000069,6.271533
res_20.har,70,4.293644999998694,6.262601
res_155.har,71,4.384005000000063,6.27137
res_24.har,71,4.012699999999983,6.28619
res_368.har,71,3.9933369999999706,6.272287
res_256.har,71,4.038990999999806,6.254235
res_167.har,71,4.164104000000065,6.262487
res_327.har,71,4.332513999999544,6.253159
res_400.har,71,3.9746560000003957,6.275829
res_110.har,71,4.170179000001503,6.281087
res_373.har,71,4.238077000000034,6.277465
res_123.har,71,4.397498999999167,6.260611
res_351.har,70,4.112908000000796,6.2859
res_275.har,71,4.10970200000018,6.26413
res_489.har,75,3.8887559999997174,6.325989
res_469.har,67,3.926835000001636,6.5648
res_367.har,71,4.294396999999298,6.264296
res_108.har,70,4.246747000000934,6.24141
res_441.har,70,4.234290999999023,6.25151
res_360.har,78,4.075315000000672,6.632816
res_136.har,71,4.247406999999162,6.279798
res_358.har,70,3.787816999999501,6.207481
res_283.har,76,3.953878000000812,6.456462
res_346.har,70,4.1599950000005625,6.252392
res_254.har,71,4.161734000000099,6.257999
res_101.har,71,4.033130000000674,6.276975
res_497.har,70,4.145575000000914,6.27728
res_67.har,71,4.100758000000016,6.269258
res_345.har,71,3.9204559999997874,6.253408
res_2.har,71,3.5402530000007535,6.269091
res_344.har,71,4.178651000000551,6.248702
res_398.har,71,4.140587000000276,6.297967
res_26.har,71,4.303954999999405,6.277866
res_306.har,71,4.018203999999198,6.274158
res_134.har,71,3.9871819999998843,6.280497
res_445.har,71,3.9931110000007175,6.25808
res_291.har,70,3.8408909999994356,6.255397
res_8.har,71,4.090056999999331,6.270619
res_52.har,67,4.071964000000633,6.560149
res_308.har,0,0.0,0.0
res_84.har,71,4.410644999999524,6.264233
res_438.har,71,2.549081000000166,6.250583
res_405.har,70,4.134893000000186,6.260361
res_332.har,70,3.840337000001513,6.231871
res_470.har,71,3.830488000000332,6.258867
res_382.har,70,3.7600860000000247,6.254752
res_169.har,71,4.250292999999845,6.257593
res_21.har,71,1.4369390000001003,6.279308
res_43.har,71,3.9224140000001935,6.265073
res_354.har,71,3.874567999999257,6.27501
res_81.har,71,3.8606410000001343,6.280459
res_118.har,70,4.2565320000000355,6.248902
res_413.har,71,4.260930999999415,6.271938
res_494.har,70,2.076309000000081,6.253596
res_105.har,71,3.9765999999984634,6.256834
res_126.har,71,4.325826999999772,6.272259
res_319.har,70,3.8875719999987632,6.259597
res_459.har,71,4.763556000000113,6.271773
res_455.har,70,4.152435000001628,6.233596
res_6.har,73,4.000291999999987,6.257608
res_362.har,70,4.062128999999113,6.225924
res_204.har,71,4.1687940000000525,6.26912
res_376.har,69,3.9553400000010295,6.244562
res_39.har,70,3.5369209999996527,6.236265
res_318.har,71,4.030627000001012,6.308645
res_13.har,71,3.8301259999992037,6.257774
res_255.har,70,3.791677999999825,6.266565
res_404.har,71,4.187026999999536,6.280817
res_64.har,49,2.2801439999997672,4.482619
res_113.har,71,4.029227000000581,6.254964
res_356.har,66,4.0896039999999925,6.568984
res_390.har,71,3.9773889999994134,6.273893
res_493.har,71,4.209488000000987,6.261567
res_353.har,71,3.9286459999994694,6.27099
res_314.har,70,4.717903999998409,6.265229
res_359.har,70,3.897433999999514,6.235469
res_418.har,71,3.9267220000009693,6.262856
res_437.har,72,4.202890999999145,6.321802
res_196.har,71,4.158600999999442,6.262898
res_286.har,71,4.0314059999999445,6.275296
res_208.har,71,4.105395999999935,6.262369
res_389.har,71,3.9085969999998342,6.261422
res_44.har,70,3.8691489999995246,6.287028
res_76.har,71,4.021312999998627,6.258259
res_37.har,71,4.173308000000179,6.271393
res_310.har,0,0.0,0.0
res_153.har,78,4.131735000000117,6.617806
res_320.har,71,4.08197399999974,6.225773
res_207.har,77,4.057748000000007,6.521935
res_210.har,86,4.332880999998611,6.959471
res_298.har,77,3.8933690000002534,6.638152
res_293.har,72,4.380200000001263,6.334478
res_485.har,70,3.924320000000269,6.228214
res_174.har,71,1.5896020000010322,6.248718
res_102.har,71,4.229205999999468,6.260713
res_212.har,71,4.192209000000206,6.295238
res_40.har,70,4.086782000001666,6.273442
res_7.har,70,1.1396499999992666,6.226767
res_399.har,70,4.386473999999958,6.263574
res_195.har,71,4.04000899999938,6.25989
res_341.har,71,4.2580849999999915,6.278682
res_324.har,71,4.14943800000014,6.260169
res_253.har,70,4.070961999998617,6.269458
res_120.har,70,4.154556000001758,6.260559
res_464.har,71,4.1293959999996295,6.266588
res_202.har,71,4.2492489999989775,6.269488
res_468.har,70,3.9434750000000056,6.257632
res_370.har,71,4.2305990000008755,6.265158
res_165.har,69,4.2380109999997515,6.267148
res_205.har,71,4.305523999999758,6.253587
res_122.har,66,4.170297000000908,6.547765
res_361.har,70,4.063364999999816,6.259314
res_80.har,71,4.286285999999716,6.258118
res_424.har,71,2.0798470000006346,6.248528
res_458.har,71,3.9276450000012555,6.263283
res_349.har,70,3.963961999999228,6.24909
res_461.har,78,4.10929500000045,6.442081
res_334.har,71,4.030919000000606,6.269867
res_159.har,70,4.134312000000006,6.249626
res_329.har,67,4.002225000000646,6.538561
res_28.har,71,3.8976360000008716,6.237737
res_60.har,70,4.006089000000065,6.254166
res_162.har,71,3.9563879999992206,6.263882
res_172.har,70,4.203258000000889,6.250334
res_226.har,71,4.264435999999158,6.255826
res_65.har,70,3.8409769999992567,6.232605
res_83.har,71,4.086434999999139,6.27233
res_170.har,70,3.719585999999079,6.246752
res_97.har,71,4.449240000000136,6.276099
res_14.har,71,4.324513999998555,6.250393
res_106.har,70,4.089737000001173,6.273163
res_492.har,71,5.292082000000548,6.280636
res_41.har,73,4.175848999999202,6.275482
res_231.har,71,4.205348999998896,6.291865
res_279.har,68,3.7636780000009455,6.543503
res_42.har,71,4.025787999999098,6.259
res_401.har,71,4.24806600000149,6.256226
res_61.har,69,4.215214999999312,6.26791
res_143.har,71,4.205010999999111,6.286715
res_145.har,71,4.269602999999421,6.268006
res_385.har,71,3.867835000000399,6.274316
res_483.har,71,4.233362000001216,6.259025
res_175.har,71,4.343252999999168,6.27462
res_112.har,71,4.383020000001139,6.302674
res_69.har,71,4.258608999999807,6.272705
res_188.har,71,4.245346000000689,6.267062
res_56.har,70,4.332335999999486,6.257502
res_27.har,70,4.433594000000288,6.222356
res_86.har,71,3.9848290000013367,6.244007
res_191.har,71,4.297195000000313,6.281054
res_22.har,70,4.071080999999846,6.236789
res_442.har,71,4.53146400000088,6.247528
res_247.har,71,4.078684999999284,6.287217
res_232.har,71,4.040770999998596,6.27238
res_246.har,71,4.13240400000017,6.26775
res_200.har,71,4.041881000000561,6.280553
res_431.har,71,4.313069999999352,6.263464
res_496.har,70,4.093658000000753,6.24594
res_179.har,67,4.405969999998808,6.566284
res_440.har,71,3.9608750000010913,6.260708
res_185.har,71,4.323040999999445,6.267522
res_371.har,71,4.029077000000863,6.248145
res_235.har,71,4.314313000001144,6.261427
res_388.har,71,4.225161999999356,6.277515
res_215.har,77,4.264741999999955,6.618044
res_217.har,71,5.544294999999969,6.308403
res_186.har,70,3.994223000000464,6.249965
res_132.har,71,4.495568999999974,6.27181
res_340.har,67,3.9247089999996096,6.526465
res_350.har,70,3.9582719999997935,6.243964
res_321.har,82,4.095625000000378,6.760276
res_447.har,71,4.04050800000054,6.273632
res_338.har,70,4.020956000001184,6.246191
res_301.har,71,4.1084539999983685,6.255081
res_294.har,76,3.8997110000011164,6.453851
res_392.har,71,3.9952439999985363,6.272807
res_184.har,71,4.370319999999498,6.258451
res_380.har,71,4.004155000000319,6.26263
res_395.har,71,3.827143000000098,6.276065
res_491.har,70,4.570213000001211,6.234715
res_316.har,70,4.123422999999763,6.205742
res_397.har,71,4.198350999999952,6.242106
res_263.har,72,4.079090999998938,6.319127
res_311.har,72,6.372140999998985,6.322729
res_262.har,71,4.29461400000019,6.265095
res_363.har,70,4.4839649999993565,6.247555
res_168.har,71,4.072921000000031,6.269281
res_194.har,70,3.9709320000001753,6.267056
res_198.har,71,4.558207999998617,6.268894
res_127.har,71,4.202766000000367,6.248008
res_142.har,70,4.4786549999998675,6.238456
res_146.har,70,4.240598999999871,6.272102
res_296.har,70,4.067752999999182,6.278041
res_426.har,71,4.102483999999749,6.272741
res_477.har,70,4.199472999999474,6.234756
res_29.har,70,4.031221000001202,6.285304
res_103.har,74,4.07683799999977,6.28174
res_348.har,77,4.2411240000000685,6.41541
res_451.har,71,4.213289000000092,6.265248
res_465.har,71,4.578331999999879,6.270143
res_375.har,71,4.196758999999278,6.267829
res_452.har,71,2.812590999999404,6.277942
res_233.har,72,4.640262000000614,6.265881
res_432.har,71,3.932900999998994,6.274917
res_156.har,71,4.773814999998765,6.262999
res_417.har,71,4.761852000000028,6.254719
res_173.har,71,4.16424100000014,6.274919
res_258.har,76,4.032557000000132,6.416693
res_433.har,71,3.7877559999983204,6.266154
res_199.har,71,4.076447000000175,6.264185
res_90.har,71,4.00028299999921,6.26742
res_317.har,70,4.05162000000065,6.272902
res_277.har,78,4.103464999999531,6.617218
res_249.har,70,4.037864000000191,6.235296
res_391.har,71,4.102828999999677,6.26579
res_252.har,80,3.4827639999992535,6.296737
res_282.har,70,4.250357999999716,6.248803
res_180.har,71,4.180032000001127,6.27628
res_312.har,71,3.966497000000469,6.257836
res_292.har,72,3.909981999998941,6.329699
res_419.har,71,4.2886669999996085,6.270863
res_149.har,70,4.289466000000175,6.274474
res_466.har,71,2.144158999998923,6.227892
res_495.har,71,4.175488000000783,6.253192
res_241.har,67,3.906841999998942,6.549929
res_91.har,67,3.9882769999993326,6.547953
res_48.har,70,4.31089099999833,6.233316
res_474.har,71,4.113172999999893,6.286797
res_315.har,75,4.043321999999418,6.522277
res_402.har,70,4.386197999999684,6.268523
res_176.har,71,4.41762100000013,6.275036
res_295.har,71,4.013709000001239,6.307245
res_457.har,70,4.195388000000981,6.269183
res_289.har,71,4.1237620000000605,6.27931
res_337.har,77,3.7019379999994855,7.184936
res_482.har,71,4.252945000000123,6.243376
res_158.har,77,4.5185649999999296,6.515631
res_1.har,71,3.722020999999848,6.275445
res_203.har,70,4.192304000001197,6.265126
res_476.har,71,4.027050000000687,6.269672
res_364.har,71,4.095357999999076,6.261167
res_164.har,71,4.142863000000301,6.276659
res_412.har,71,4.384726999999548,6.290052
res_407.har,71,3.9590489999996934,6.251077
res_473.har,70,3.8966910000009523,6.259607
res_214.har,70,4.229200999999332,6.255304
res_216.har,72,4.259765999999988,6.323355
res_336.har,71,4.124865999998932,6.269547
res_498.har,70,4.195214999999327,6.226874
res_326.har,75,3.9395099999990633,6.455791
res_487.har,70,4.71250000000112,6.254529
res_416.har,71,4.090445999999953,6.257709
res_111.har,70,3.9653499999997295,6.257381
res_38.har,71,4.235940000001298,6.263212
res_257.har,71,4.027495000000141,6.274079
res_157.har,71,4.192556999999914,6.273722
res_5.har,71,4.0504919999992275,6.265617
res_150.har,71,4.260024999999528,6.278168
res_77.har,71,4.120971999999165,6.267556
res_325.har,71,3.96477500000014,6.264211
res_409.har,70,4.179710000000574,6.261156
res_68.har,70,4.072838999999309,6.24474
res_467.har,70,3.9160900000012333,6.257497
res_222.har,71,5.245757000000157,6.254769
res_406.har,70,4.164348000000915,6.239644
res_339.har,71,4.069474999999133,6.264458
res_328.har,71,4.082241000000067,6.27722
res_36.har,72,4.007567000000199,6.313374
res_410.har,71,4.270518000000855,6.262487
res_100.har,67,4.9622659999985625,6.566482
res_280.har,71,4.2531050000001125,6.262908
res_183.har,71,4.333066000000908,6.231221
res_475.har,71,3.891441000000021,6.317562
res_450.har,78,4.1870400000002554,6.631183
res_182.har,71,4.147887000000105,6.241755
res_0.har,71,3.9356530000002676,6.267546
res_187.har,70,4.067767000000385,6.239648
res_32.har,70,3.698542000000045,6.781528
res_163.har,70,4.17625699999911,6.269061
res_141.har,71,4.269440999999016,6.258275
res_82.har,71,4.35816400000159,6.253391
res_347.har,71,4.14165700000021,6.264302
res_87.har,71,3.977398000000816,6.273425
res_383.har,72,3.993278000001228,6.237171
res_223.har,70,4.435561000000715,6.263934
res_240.har,71,3.976238999998823,6.237532
res_95.har,71,4.3031610000006335,6.265203
res_189.har,67,4.2317700000003535,6.560408
res_378.har,70,3.9984719999990777,6.239404
res_140.har,76,4.343011000000595,6.441252
res_245.har,71,4.291341000000277,6.250748
res_224.har,70,4.1864620000000725,6.27147
res_322.har,78,4.307857999999964,6.608543
res_15.har,71,4.121922000000108,6.260307
res_456.har,70,4.070912000001568,6.263966
res_129.har,70,4.506981999999887,6.265067
res_396.har,71,4.3484519999998446,6.282244
res_206.har,72,4.121586000000345,6.279388
res_307.har,66,4.08842399999965,5.056688
res_94.har,71,3.982070000000051,6.260585
res_423.har,67,4.221357000000091,6.5612
res_78.har,71,4.727019000000379,6.261676
res_352.har,71,4.056528999999966,6.25782
res_229.har,71,4.093663999998651,6.26745
res_313.har,78,1.1749439999999012,6.63681
res_411.har,71,4.193186999999452,6.270401
res_220.har,73,4.151756000000722,6.283426
res_297.har,78,4.508365999999194,6.713858
res_333.har,77,4.089107000000164,7.098027
res_107.har,70,3.8862110000017127,6.282802
res_221.har,71,4.222637999999643,6.277281
res_374.har,71,3.985941000000268,6.26693
res_151.har,71,4.542547999999486,6.269974
