Filename,Requests,Total Iime (Sec),Total Weight (MB)
res_384.har,71,3.9626779999999635,6.268705
res_393.har,70,4.184447999999866,6.268092
res_236.har,73,3.938554000000142,6.249695
res_154.har,70,4.081384000000449,6.263275
res_479.har,71,4.206587000000596,6.272205
res_109.har,70,4.043729999999894,6.266257
res_484.har,71,4.239820999999516,6.283389
res_20.har,70,4.104051000000065,6.260922
res_155.har,70,4.012710999999872,6.28657
res_24.har,71,4.081658000000265,6.263505
res_368.har,71,4.219531000000679,6.269382
res_256.har,71,4.217877000000146,6.270583
res_167.har,71,3.7525059999999577,6.267281
res_327.har,71,4.181228999999527,6.259996
res_400.har,71,4.130720000000016,6.251479
res_110.har,70,3.822138999999959,6.279991
res_373.har,74,4.052540000000255,6.27899
res_123.har,70,1.9574699999998628,6.26345
res_351.har,71,4.000413999999844,6.261964
res_275.har,71,4.01679800000065,6.269864
res_489.har,70,4.169854000000123,6.248422
res_469.har,70,3.9885140000005705,6.260349
res_367.har,87,4.255259000000602,7.10808
res_108.har,70,4.033324999999714,6.249108
res_441.har,71,4.1105140000000535,6.284206
res_360.har,71,3.880770999999775,6.26893
res_136.har,69,3.9798040000005783,6.253388
res_358.har,70,4.33040700000005,6.261254
res_283.har,71,4.1149919999998605,6.287481
res_346.har,71,3.961389000000432,6.264727
res_254.har,71,4.671254000000045,6.250377
res_101.har,70,3.89248899999947,6.247864
res_497.har,71,4.027272000000433,6.269757
res_67.har,69,4.130820000000422,6.264108
res_345.har,71,4.01099400000021,6.265709
res_2.har,70,3.5631229999997522,6.293519
res_344.har,70,4.077267999999727,6.230125
res_398.har,69,4.001415000000575,6.562376
res_26.har,70,3.934310000000107,6.268055
res_306.har,71,4.07777300000046,6.279078
res_134.har,70,4.169103000000686,6.271362
res_445.har,71,4.3141620000004846,6.268794
res_291.har,71,4.4619819999999235,6.240495
res_8.har,69,4.0272660000006075,6.272797
res_52.har,70,3.8832410000004676,6.240658
res_308.har,71,4.0715499999997045,6.27317
res_84.har,77,4.10748599999991,6.507758
res_438.har,73,3.55147399999942,6.350625
res_405.har,70,4.0789379999996305,6.267273
res_332.har,70,4.231357999999615,6.268325
res_470.har,71,4.110848999999595,6.254659
res_382.har,70,3.9711699999998893,6.25398
res_169.har,70,4.709199999999321,6.248647
res_21.har,71,4.757202999999994,6.269321
res_43.har,71,3.893795999999755,6.266116
res_354.har,70,4.1433219999999125,6.262094
res_81.har,75,3.902088999999767,6.425075
res_118.har,69,4.161448000000142,6.251427
res_413.har,67,4.125222999999889,6.544045
res_494.har,71,3.9989669999996695,6.260451
res_105.har,70,3.954261999999937,6.250034
res_126.har,70,3.9771570000004504,6.273105
res_319.har,70,3.945129999999932,6.239542
res_459.har,71,3.935972000000489,6.245779
res_455.har,78,3.9867470000000758,6.418303
res_6.har,68,4.144341999999364,6.248564
res_362.har,71,4.20611199999987,6.281373
res_204.har,71,3.9483420000005354,6.26631
res_376.har,75,4.145279999999715,6.308468
res_39.har,71,3.9160959999993574,6.259602
res_318.har,71,3.9300590000002558,6.278704
res_13.har,66,3.8888360000002358,6.557061
res_255.har,71,4.237818000000181,6.26749
res_404.har,71,4.175730999999738,6.272994
res_64.har,70,4.2077450000003225,6.249347
res_113.har,69,4.134135999999802,6.293341
res_356.har,71,4.049869999999726,6.304851
res_390.har,67,3.9873249999999314,6.562274
res_493.har,70,4.1632899999984945,6.269083
res_353.har,71,4.07547800000009,6.285654
res_314.har,71,4.349743000000533,6.268754
res_359.har,71,4.083995999999919,6.266593
res_418.har,71,2.615226999999817,6.283908
res_437.har,71,4.251320000000531,6.240251
res_196.har,71,3.933489999999976,6.268985
res_286.har,77,3.9083429999999426,6.297567
res_208.har,72,3.6674719999995142,6.819527
res_389.har,71,4.089601000000381,6.267526
res_44.har,77,4.804913000000161,6.626446
res_76.har,71,3.8620520000004617,6.280115
res_37.har,70,4.0834009999997365,6.250417
res_310.har,71,4.058602000000618,6.271851
res_153.har,70,3.9792830000001778,6.27758
res_320.har,70,4.042575000000863,6.254792
res_207.har,71,4.209165999999764,6.266628
res_210.har,71,4.066177000000069,6.272261
res_298.har,71,4.067011000000457,6.269592
res_293.har,71,2.1202659999992393,6.268355
res_485.har,71,4.033685000001598,6.238039
res_174.har,75,3.910461999999956,6.298198
res_102.har,69,4.202652000000351,6.251618
res_212.har,67,3.5668420000002805,7.215886
res_40.har,71,3.9337100000001084,6.272727
res_7.har,69,4.169397000000492,6.285238
res_399.har,71,4.3497570000002455,6.285913
res_195.har,71,4.109107999999651,6.289153
res_341.har,71,4.561529999999809,6.266066
res_324.har,71,4.232571000000564,6.267776
res_253.har,71,3.986410999999891,6.264156
res_120.har,70,3.98587999999951,6.267448
res_464.har,71,4.507124999999527,6.273577
res_202.har,71,3.981172999999813,6.281644
res_468.har,71,4.104122000000265,6.257895
res_370.har,71,4.169021999999881,6.273705
res_165.har,70,4.231517999999698,6.26514
res_205.har,71,3.95203500000012,6.270998
res_122.har,70,4.129540999999808,6.271481
res_361.har,72,3.954727999999675,6.265451
res_80.har,74,0.24998199999936332,6.441131
res_424.har,71,3.9282119999996357,6.270647
res_458.har,71,3.8490629999992962,6.257831
res_349.har,71,2.3913799999992627,6.275078
res_461.har,71,3.9409679999998626,6.259929
res_334.har,71,4.054277000000496,6.267754
res_159.har,70,3.997187000000122,6.244705
res_329.har,72,3.846395000000099,6.270963
res_28.har,71,3.949646999999575,6.289254
res_60.har,71,3.8632610000002607,6.334774
res_162.har,71,3.9071229999999413,6.251769
res_172.har,70,4.029016999999789,6.264291
res_226.har,71,3.9918240000006335,6.265957
res_65.har,70,4.037280999999916,6.31076
res_83.har,69,3.977016999999694,6.247474
res_170.har,71,4.063768000000185,6.267463
res_97.har,68,4.824302999999338,6.253124
res_14.har,70,3.912452000000136,6.256313
res_106.har,68,3.861158999999534,6.255765
res_492.har,72,4.274629000000612,6.269578
res_41.har,71,3.8641199999996023,6.276899
res_231.har,71,4.049375000000516,6.274782
res_279.har,71,3.997099999999933,6.281746
res_42.har,72,4.547704999999951,6.326851
res_401.har,71,3.947606999999989,6.254293
res_61.har,69,4.008350999999974,6.248312
res_143.har,70,4.026747999999366,6.275497
res_145.har,68,4.521259000000107,6.254282
res_385.har,70,4.446835000000275,6.270946
res_483.har,70,4.239594000000274,6.226862
res_175.har,70,4.151976999999708,6.261857
res_112.har,70,3.9464449999996796,6.252842
res_69.har,69,3.9902040000001873,6.223339
res_188.har,70,4.202408000000032,6.268494
res_56.har,70,4.286909999999756,6.28611
res_27.har,71,3.5809779999995515,6.256176
res_86.har,70,4.083885000000133,6.269183
res_191.har,70,3.7347819999995115,6.241855
res_22.har,71,3.900050000000068,6.273465
res_442.har,71,4.1368109999994775,6.263071
res_247.har,70,3.7949589999996607,6.269442
res_232.har,71,4.027289000000623,6.274536
