Filename,Requests,Total Time (Sec),Total Weight (MB)
res_369.har,79,5.224983999999924,6.61332
res_325.har,74,4.8050720000002185,6.44529
res_203.har,105,4.793406999999177,7.172299
res_419.har,68,4.608462000000276,6.180369
res_495.har,75,5.480524999999907,6.375467
res_227.har,73,4.5966129999998815,6.35831
res_151.har,74,4.424683999999251,6.430301
res_315.har,69,4.414441000000341,6.672906
res_161.har,77,5.32272799999865,6.391185
res_106.har,69,6.300000000000611,6.237161
res_54.har,67,12.675847999998805,6.241516
res_314.har,74,5.153908000000621,6.384592
res_23.har,72,6.138652999999977,6.250588
res_338.har,76,4.833057000000102,6.446753
res_193.har,74,4.598065999999934,6.438559
res_43.har,78,6.03076200000073,6.571622
res_190.har,75,4.738778000000588,6.379929
res_210.har,71,4.679109999998836,6.262299
res_92.har,67,6.956141000000963,6.178652
res_318.har,77,4.875304000000804,6.584478
res_468.har,106,4.669862000001187,6.822409
res_147.har,73,4.796381999999968,6.237909
res_40.har,75,6.077942000000475,6.38715
res_324.har,75,4.660866999999067,6.379112
res_452.har,70,4.436505999999616,6.40887
res_280.har,74,5.564450999999433,6.425567
res_421.har,77,5.43448399999857,6.553123
res_267.har,75,2.3353810000009396,6.391701
res_386.har,75,4.995666000000259,6.430454
res_490.har,69,4.798161000001026,6.199293
res_425.har,75,4.695462000001033,6.361144
res_222.har,73,3.254220000000001,6.365008
res_257.har,75,4.869516000001182,6.549184
res_99.har,75,6.369127000001608,6.537516
res_423.har,73,4.723298000001101,6.340466
res_53.har,69,13.344915999999998,6.246172
res_184.har,75,4.980925999999003,6.383729
res_373.har,68,4.728626000000149,6.34367
res_187.har,75,8.197858000000576,6.383138
res_21.har,108,6.726390999999203,6.964535
res_251.har,72,4.745434000000168,6.337606
res_130.har,74,6.522759000000617,6.423229
res_111.har,67,9.60170699999998,6.178552
res_273.har,75,4.775498999999181,6.381827
res_213.har,64,4.472239999999001,6.498465
res_420.har,76,4.73507200000032,6.452559
res_488.har,76,4.77143699999842,6.358019
res_388.har,103,4.885137999999293,6.72529
res_326.har,76,5.175590999998793,6.455653
res_152.har,73,5.208851999999649,6.362954
res_241.har,73,4.848821000000535,6.365039
res_1.har,68,6.344590000000142,6.182591
res_195.har,73,4.805512000000439,6.363865
res_444.har,76,7.386864000000089,6.367222
res_409.har,105,4.8483890000009415,6.679622
res_431.har,69,4.653921000000483,6.218087
res_282.har,97,6.476961000000287,6.522704
res_244.har,67,4.9103440000005065,6.187973
res_240.har,74,4.526430000000488,6.443037
res_108.har,69,6.7560179999992105,6.205861
res_160.har,68,5.353755999999936,6.181346
res_451.har,74,5.227310999999565,6.370546
res_102.har,75,5.680300000000119,7.037212
res_27.har,70,5.721162999999782,6.722993
res_231.har,69,4.741841000000161,6.211166
res_261.har,68,4.774434000000867,6.187186
res_483.har,74,4.77359000000103,6.379889
res_254.har,76,4.921643000000317,6.585125
res_377.har,74,4.9307430000013115,6.381043
res_355.har,73,4.870170999999071,6.362883
res_204.har,76,4.765648999999801,6.445461
res_426.har,101,4.396841000000611,6.662183
res_115.har,99,7.480237999999096,6.555435
res_322.har,73,4.428730000000519,6.370641
res_327.har,105,4.493578999998354,6.722654
res_342.har,77,6.042226999999635,6.56784
res_455.har,73,4.623277999999045,6.353869
res_470.har,75,4.715649999998685,6.388553
res_378.har,75,5.079221000001329,6.381168
res_447.har,76,4.689710999999108,6.461732
res_333.har,68,4.6543939999995345,6.223962
res_456.har,73,4.8596290000009175,6.351946
res_398.har,77,5.49179799999921,6.580195
res_245.har,68,0.423518999999942,6.182224
res_399.har,74,4.846561000000962,6.391553
res_122.har,71,9.055894000000292,6.271869
res_105.har,101,6.887681999999069,6.638077
res_320.har,73,5.998239999999379,6.366784
res_458.har,81,6.065972999999096,6.676757
res_349.har,98,4.709969000000114,6.570645
res_89.har,91,7.156275999998586,7.988043
res_457.har,75,4.956534999999218,6.38985
res_413.har,68,1.4173500000001076,6.186171
res_104.har,69,7.37637799999927,6.201999
res_255.har,78,5.3665439999997036,6.459629
res_301.har,76,4.4169360000005105,6.445128
res_353.har,73,4.832492000001075,6.360485
res_78.har,68,7.251772999999419,6.237619
res_33.har,77,6.963354000001404,6.570386
res_135.har,74,7.7570750000002295,6.437001
res_224.har,75,4.725255000000587,6.554671
res_31.har,68,5.92255999999962,6.175198
res_428.har,74,4.761100999999791,6.437347
res_167.har,75,2.021661000001521,6.380782
res_221.har,73,4.627136000001236,6.367359
res_70.har,69,6.906717999999629,6.206924
res_474.har,75,4.573967000000179,6.376876
res_69.har,49,3.5537179999995714,4.458285
res_229.har,75,4.611477999999464,6.38197
res_336.har,73,2.474323999998931,6.357531
res_56.har,68,13.425908000001073,6.238444
res_237.har,104,4.8984340000005036,6.769594
res_247.har,70,4.427329999998925,6.198948
res_113.har,69,7.3411530000007765,6.205381
res_471.har,76,4.802961999998893,6.385582
res_146.har,75,4.943821999999462,6.554431
res_276.har,73,4.583278999998948,6.370547
res_460.har,75,5.1186049999990795,6.549299
res_168.har,71,5.319088000001298,6.271754
res_22.har,103,6.846653999999864,6.707318
res_110.har,77,7.217242000001105,6.569689
res_366.har,69,5.221402999999846,6.191932
res_91.har,69,6.869626999999178,6.201696
res_32.har,68,6.391286000000429,6.190569
res_400.har,67,4.70219499999909,6.175311
res_473.har,75,4.772942999999214,6.377391
res_408.har,73,4.6950320000007775,6.35808
res_357.har,105,5.755710999999995,6.822458
res_390.har,71,3.0079199999992126,6.262609
res_295.har,73,4.943543000000354,6.366268
res_286.har,75,4.772447000001164,6.399744
res_37.har,67,6.849398999999554,6.175171
res_464.har,76,7.366508000001166,6.438648
res_346.har,75,4.8014269999994434,6.553393
res_445.har,73,6.519590000000156,6.370197
res_144.har,74,4.883573000001779,6.426664
res_19.har,69,6.4762279999996535,6.241303
res_202.har,100,4.976224000000497,6.59823
res_143.har,101,4.943104999999472,6.649229
res_284.har,108,4.809721000000791,6.957162
res_319.har,68,4.803086000001262,6.189082
res_294.har,75,4.544558999999339,6.373674
res_199.har,69,4.816217000000135,6.235175
res_252.har,74,4.767193000000844,6.433029
res_462.har,68,4.379177000001247,6.560036
res_293.har,100,4.817126000000397,6.57084
res_482.har,95,4.724830000000264,6.535163
res_51.har,69,6.269721000000064,6.192703
res_207.har,76,4.823902000000497,6.454937
res_269.har,74,5.052113000000011,6.384061
res_448.har,63,4.707297999999558,6.497576
res_74.har,67,7.191045999999071,6.179309
res_18.har,76,6.592524999999893,6.439354
res_230.har,75,4.795131000000387,6.441501
res_401.har,74,4.881967999999397,6.429049
res_262.har,75,4.812860000000612,6.37976
res_238.har,70,4.5863749999992285,6.194852
res_131.har,69,6.94064400000179,6.202019
res_299.har,68,4.624851999998645,6.287141
res_49.har,73,6.199051999999924,6.363157
res_430.har,90,8.338966999999771,8.83016
res_376.har,72,4.763369000001141,6.676783
res_121.har,75,6.870686999999627,6.388413
res_183.har,105,5.262652999999147,6.790815
res_177.har,73,4.705089000000662,6.358751
res_44.har,75,6.080782999999312,6.434153
