Filename,Requests,Total Time (Sec),Total Weight (MB)
res_369.har,76,5.052395999999251,6.466851
res_325.har,74,3.4972400000005726,6.386767
res_203.har,69,5.180978999999235,6.241983
res_419.har,95,4.646872999997286,6.601219
res_495.har,98,5.134510999999765,6.580215
res_227.har,69,7.321747000001837,6.20947
res_151.har,73,4.802241999997699,6.348282
res_315.har,75,4.556937999998627,6.381955
res_161.har,67,4.895774999997957,6.167403
res_106.har,74,9.49553800000131,6.381415
res_54.har,69,6.132714999999531,6.239125
res_314.har,82,1.357694000000949,6.663776
res_23.har,67,6.156380999999514,6.196022
res_338.har,97,4.84433800000156,6.590159
res_193.har,73,4.702179999998625,6.361241
res_43.har,77,6.065586999998893,6.633235
res_190.har,73,4.918763000000326,6.356475
res_210.har,72,4.381843999999866,6.774612
res_92.har,67,5.593090999999127,6.184455
res_318.har,78,4.292625999999756,6.590215
res_468.har,75,4.885800999999424,6.386511
res_147.har,73,4.659161999998148,6.32747
res_40.har,75,7.1895110000003335,6.541216
res_324.har,68,4.7422379999997215,6.175446
res_452.har,102,4.627933000000601,6.640383
res_280.har,103,4.800405999996496,6.747334
res_421.har,98,4.781059000000416,7.219897
res_267.har,92,2.524683000000485,7.33301
res_386.har,77,7.068926999999793,6.386185
res_490.har,82,6.442257999999216,6.70123
res_425.har,70,4.516262000000687,6.199238
res_222.har,74,5.007228999999148,6.4155
res_257.har,73,4.5820380000007574,6.357851
res_99.har,69,5.270843999998585,6.198696
res_423.har,75,4.673221000001911,6.387005
res_53.har,70,5.79367799999984,6.329057
res_184.har,102,4.696174999998126,6.622375
res_373.har,96,4.565701000000117,6.568729
res_187.har,96,4.74332299999849,6.550805
res_21.har,78,5.927434000001099,6.618452
res_251.har,73,4.781776000000769,6.361178
res_130.har,69,5.887422999998321,6.245423
res_111.har,70,1.296072000000102,6.223723
res_273.har,76,4.6629200000001,6.566472
res_213.har,74,4.754803000001208,6.448664
res_420.har,76,4.533878000000288,6.446542
res_488.har,69,4.6709960000022255,6.187444
res_388.har,76,4.486360999999539,6.449734
res_326.har,74,4.432600999999384,6.446782
res_152.har,69,4.647931000000593,6.664979
res_241.har,68,4.768443000001746,6.133161
res_1.har,68,1.4871660000013507,6.302304
res_195.har,68,4.744048999997758,6.157422
res_444.har,74,4.855453000000212,6.433331
res_409.har,97,4.61257399999848,6.498569
res_431.har,94,4.693396000000124,6.562575
res_282.har,68,4.794482999999629,6.194267
res_244.har,73,5.015409999999509,6.346022
res_240.har,75,4.697758999999991,6.390541
res_108.har,67,5.836463999999789,6.196809
res_160.har,75,5.08148300000187,6.358156
res_451.har,93,7.380237000000954,6.521717
res_102.har,69,5.503169999999139,6.200487
res_27.har,70,4.400123000000691,6.235539
res_231.har,74,4.59648200000063,6.36762
res_261.har,73,4.700366999998601,6.373114
res_483.har,100,4.807370000002003,6.80265
res_254.har,74,4.492438000001362,6.429565
res_377.har,98,4.430134000000253,6.569674
res_355.har,75,5.139925999998406,6.390095
res_204.har,75,5.062748000001331,6.404944
res_426.har,98,4.885661999998556,6.607741
res_115.har,74,5.337045999998882,6.379555
res_322.har,76,4.581828999997582,6.446419
res_327.har,69,4.635996999998839,6.213519
res_342.har,100,4.664301999999938,6.703509
res_455.har,70,4.700534999999975,6.193442
res_470.har,94,1.1323380000009493,6.518402
