Filename,Requests,Total Time (Sec),Total Weight (MB)
res_369.har,98,4.690821000000491,6.594364
res_325.har,101,7.453214000001724,6.634942
res_203.har,101,6.706789000000368,6.678079
res_419.har,103,6.794281999999192,6.654791
res_495.har,74,6.746207999998616,6.27535
res_227.har,96,6.851738999997906,6.584873
res_151.har,105,8.757713000000775,6.667482
res_315.har,70,6.054470999999786,6.20987
res_161.har,74,6.2047860000029615,6.303382
res_106.har,65,5.292121999999974,7.033735
res_54.har,105,9.120646000002598,6.763636
res_314.har,67,5.769815000001254,6.282987
res_23.har,91,6.789519000000175,6.897061
res_338.har,72,8.688418999998976,6.217562
res_193.har,104,6.511515999999567,6.719132
res_43.har,101,7.039043000001082,6.698611
res_190.har,80,6.485245000001625,6.420282
res_210.har,96,7.055694999998551,6.577203
res_92.har,68,8.501041999999842,6.185772
res_318.har,68,6.874296000000585,6.291281
res_468.har,96,6.9736190000000935,6.636397
res_147.har,105,6.830495000001101,6.742982
res_40.har,68,6.863692999998457,6.294807
res_324.har,73,6.774413000000059,6.393139
res_452.har,72,8.975868999998667,6.367653
res_280.har,101,5.807258000001922,6.594374
res_421.har,81,7.947717999998305,6.397929
res_267.har,72,5.837309000000998,6.354846
res_386.har,99,5.902112000000023,6.636252
res_490.har,102,7.586236999999587,6.864911
res_425.har,97,6.788771999998513,6.541445
res_222.har,103,7.520433999999193,6.688978
res_257.har,69,6.647083000001643,6.282308
res_99.har,70,9.523937000000908,6.35476
res_423.har,68,6.192222000002686,6.895001
res_53.har,72,6.544523999998463,6.222254
res_184.har,102,9.18713300000006,6.681776
res_373.har,101,4.588230999999243,6.660875
res_187.har,73,7.1720640000007405,6.286567
res_21.har,88,6.732532000000501,6.498389
res_251.har,94,6.487284000000073,6.536142
res_130.har,78,6.784236000000034,6.486544
res_111.har,69,6.432511000000319,6.339713
res_273.har,80,5.420870999996899,6.407864
res_213.har,68,9.27426600000073,6.276703
res_420.har,99,6.5089910000009406,6.589704
res_488.har,67,6.934269000000786,6.28343
res_388.har,0,0.0,0.0
res_326.har,76,6.6594609999976235,6.463096
res_152.har,68,6.195198999997519,6.282099
res_241.har,107,7.9097720000026746,7.126317
res_1.har,106,8.260658000000548,7.127148
res_195.har,83,6.292616000000999,6.585602
