Filename,Requests,Total Time (Sec),Total Weight (MB)
res_369.har,49,3.1173599999977744,4.449021
res_325.har,49,3.496126999998669,4.463941
res_203.har,49,2.724039000002609,4.455624
res_419.har,47,2.59090199999942,4.410714
res_495.har,50,2.890188999997947,4.436669
res_227.har,50,4.935731000001251,4.481423
res_151.har,51,4.989085999999196,4.469426
res_315.har,49,3.645909000000305,4.453996
res_161.har,48,3.523690000002331,4.464313
res_106.har,49,2.698974000000133,4.4782
res_54.har,49,4.1305599999990665,4.456764
res_314.har,45,3.3840439999991503,4.745397
res_23.har,48,4.471710000000341,4.442334
res_338.har,46,3.3281620000006513,4.766069
res_193.har,48,3.7356330000013114,4.445647
res_43.har,49,3.529476999999344,4.445099
res_190.har,55,2.931299999999057,4.451103
res_210.har,49,2.9938680000027524,4.437888
res_92.har,49,2.4880320000005884,4.447128
res_318.har,49,4.05663400000101,4.418811
res_468.har,49,1.2752229999988631,4.484006
res_147.har,49,2.76139400000163,4.448926
res_40.har,49,3.5779729999998233,4.429212
res_324.har,44,3.4872980000022507,4.735676
res_452.har,49,2.5472060000030905,4.403225
res_280.har,0,0.0,0.0
res_421.har,49,2.8715169999997014,4.42268
res_267.har,46,2.6783570000015318,4.458038
res_386.har,45,3.1115410000003174,4.7542
res_490.har,49,2.7097349999982105,4.440162
res_425.har,49,2.8914620000022695,4.429805
res_222.har,50,2.723034999999829,4.500652
res_257.har,49,3.885061999997881,4.478424
res_99.har,49,3.9984990000014657,4.453145
res_423.har,47,2.7435880000020845,4.407671
res_53.har,49,3.8537939999997617,4.460655
res_184.har,46,2.779236999999761,4.444349
res_373.har,47,3.4092139999986393,4.40594
res_187.har,49,3.2888810000023803,4.436416
res_21.har,51,4.692950000000478,4.488538
res_251.har,49,3.338054000002856,4.457791
res_130.har,46,5.766127000000241,4.444382
res_111.har,48,3.1262609999975246,4.460493
res_273.har,0,0.0,0.0
res_213.har,49,2.777533999997977,4.461164
res_420.har,49,2.8369749999985214,4.43329
res_488.har,49,2.7199539999998525,4.467864
res_388.har,49,3.1580249999975787,4.450316
res_326.har,50,3.3381269999976504,4.460483
res_152.har,48,5.405541000000987,4.458104
res_241.har,50,2.893711000001931,4.454649
res_1.har,51,6.031739999998914,4.44804
res_195.har,44,4.882623000000894,4.752765
res_444.har,48,2.4894529999987864,4.419919
res_409.har,47,2.761992999998736,4.409612
res_431.har,49,2.522275000000227,4.454656
res_282.har,0,0.0,0.0
res_244.har,82,6.5560410000002305,5.165081
res_240.har,48,5.229264999998995,4.450954
res_108.har,46,2.2049630000015314,4.442987
res_160.har,49,3.2186200000031677,4.466375
res_451.har,49,2.9709579999994022,4.440091
res_102.har,48,4.948929999997228,4.448501
res_27.har,49,3.2455829999982377,4.474076
res_231.har,62,7.349776999999303,4.623524
res_261.har,46,4.719515999998781,4.454534
res_483.har,51,2.6990070000000124,4.470286
res_254.har,49,3.0792389999989536,4.452236
res_377.har,49,3.2627560000012745,4.472558
res_355.har,49,3.3696910000015343,4.438257
res_204.har,46,2.6778889999989186,4.439832
res_426.har,49,2.6392730000015874,4.451403
res_115.har,85,6.517651000000012,4.865118
res_322.har,49,3.269266000001808,4.439302
res_327.har,51,4.28865299999842,4.482314
res_342.har,48,3.2118929999994,4.426346
res_455.har,49,2.892327999999834,4.429016
res_470.har,49,2.6188059999998368,4.426446
res_378.har,49,3.38978399999917,4.43587
res_447.har,50,5.099567000002076,4.417393
res_333.har,51,4.996912999999855,4.469619
res_456.har,49,2.8523210000002,4.432916
res_398.har,47,2.5462180000014194,4.418501
res_245.har,49,3.025757000001351,4.437447
res_399.har,49,2.2393439999992553,4.447688
res_122.har,49,2.9392640000000245,4.43483
res_105.har,52,4.951881999999779,4.483162
res_320.har,55,5.880655000002298,4.56332
res_458.har,49,2.71556799999738,4.471583
res_349.har,49,3.4642229999983973,4.425339
res_89.har,49,2.49642499999961,4.44486
res_457.har,50,3.083147999999375,4.463125
res_413.har,50,2.7013309999979103,4.454217
res_104.har,47,4.518913999999117,4.464236
res_255.har,51,5.204246999999887,4.454443
res_301.har,46,2.9505010000011533,4.395902
res_353.har,50,3.3731589999992284,4.464148
res_78.har,50,2.7964389999977137,4.490303
res_33.har,49,6.501717000000005,4.449852
res_135.har,49,5.137823000001517,4.447907
res_224.har,49,2.914775000000256,4.469679
res_31.har,86,6.095762999999017,4.851498
res_428.har,48,3.0422869999998947,4.454097
res_167.har,89,4.63186299999844,4.846241
res_221.har,49,2.861664000000135,4.455588
res_70.har,59,2.9031070000026085,4.52138
res_474.har,49,3.05031800000064,4.439216
res_69.har,61,3.5001060000002324,4.61989
res_229.har,49,2.8616989999976905,4.450088
res_336.har,49,3.254772000001045,4.472201
res_56.har,51,5.862567000000039,4.447822
res_237.har,48,5.008960000001331,4.448732
res_247.har,49,2.7448620000022927,4.459334
res_113.har,51,3.442189000001206,4.465386
res_471.har,49,2.861269999999757,4.470862
res_146.har,49,2.8277780000003405,4.461181
res_276.har,0,0.0,0.0
res_460.har,55,2.8803110000015293,4.43646
res_168.har,46,3.384321999999578,4.474866
res_22.har,49,3.30501299999794,4.440858
res_110.har,49,4.498551000001054,4.462452
res_366.har,49,3.287015000000858,4.454579
res_91.har,49,3.3949530000027734,4.427956
